日期,股票代码,股票简称,申万一级行业代码,申万一级行业,昨日申万一级行业涨跌幅,昨日申万一级行业涨跌幅排名,竞昨成交比估算,个股热度排名昨日,竞价匹配金额_openapi
20251205,002565.SZ,顺灏股份,801140,轻工制造,-0.81,23.0,0.021912864710773323,9,90518450.0
20251208,300502.SZ,新易盛,801770,通信,1.23,12.0,0.005242331071721254,77,70111428.0
20251219,002491.SZ,通鼎互联,801770,通信,-1.58,30.0,0.03875731348460524,39,72407780.0
20251219,001208.SZ,华菱线缆,801730,电力设备,-2.22,31.0,0.02130951819366768,15,68379258.0
20251219,300308.SZ,中际旭创,801770,通信,-1.58,30.0,0.017867203625083754,71,246601150.0
20251222,300308.SZ,中际旭创,801770,通信,0.66,22.0,0.04209436684573604,88,540095150.0
20251222,000592.SZ,平潭发展,801010,农林牧渔,0.89,19.0,0.026679901285515763,1,157180680.0
20251224,001208.SZ,华菱线缆,801730,电力设备,1.12,1.0,0.04138435989457042,26,122754858.0
20251224,600118.SH,中国卫星,801740,国防军工,-1.42,28.0,0.012892075261530711,11,155213570.0
20251224,002792.SZ,通宇通讯,801770,通信,-0.53,21.0,0.012333059155919814,21,59178339.0
20251225,002407.SZ,多氟多,801030,基础化工,1.43,6.0,0.014405247913970416,24,115820975.0
20251229,300377.SZ,赢时胜,801750,计算机,0.39,12.0,0.012939956085969652,56,52173662.0
20251230,002716.SZ,湖南白银,801050,有色金属,-1.95,31.0,0.019397364823986858,53,69764256.0
20251230,600693.SH,东百集团,801200,商贸零售,-0.7,22.0,0.018463401653678657,4,77342923.0
20251230,601899.SH,紫金矿业,801050,有色金属,-1.95,31.0,0.016455998400368207,73,192109460.0
20251231,600783.SH,鲁信创投,801890,机械设备,1.29,4.0,0.03661874124947892,40,104890104.0
20251231,603123.SH,翠微股份,801200,商贸零售,-1.56,31.0,0.03250886732066083,8,110017017.0
20251231,000420.SZ,吉林化纤,801030,基础化工,0.45,10.0,0.02333574330678213,57,66814242.0
20260105,600343.SH,航天动力,801890,机械设备,-0.09,18.0,0.023719960445336613,18,169435210.0
20260105,002009.SZ,天奇股份,801890,机械设备,-0.09,18.0,0.017655458744537875,16,63598966.0
20260106,002347.SZ,泰尔股份,801890,机械设备,1.48,14.0,0.018041450123604603,12,57344227.0
20260106,002565.SZ,顺灏股份,801140,轻工制造,0.81,21.0,0.011135710227454488,11,76065494.0
20260107,002837.SZ,英维克,801890,机械设备,0.8,23.0,0.022374352913103288,85,147518900.0
20260107,603667.SH,五洲新春,801890,机械设备,0.8,23.0,0.016415373812604547,24,107213098.0
20260107,002600.SZ,领益智造,801080,电子,1.66,10.0,0.013346166374584526,93,66582244.0
20260108,002766.SZ,索菱股份,801880,汽车,-0.32,21.0,0.03178518290225872,29,58675806.0
20260108,002945.SZ,华林证券,801790,非银金融,-1.13,30.0,0.021720741259328,82,63522662.0
20260108,002163.SZ,海南发展,801720,建筑装饰,0.59,8.0,0.017026516183211084,52,52499200.0
20260109,600266.SH,城建发展,801180,房地产,1.6,4.0,0.028450486231101985,29,98454605.0
20260112,002324.SZ,普利特,801030,基础化工,0.49,25.0,0.018832149161887343,29,120278026.0
20260112,600895.SH,张江高科,801180,房地产,0.72,21.0,0.014835355956250783,99,71781623.0
20260112,300065.SZ,海兰信,801740,国防军工,3.29,3.0,0.013895669376951233,77,83025598.0
20260113,002757.SZ,南兴股份,801890,机械设备,2.09,8.0,0.02152881970285687,26,59022918.0
20260114,002519.SZ,银河电子,801740,国防军工,-5.5,31.0,0.016323284703029805,17,83335011.0
