日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,竞价换手率_openapi,竞价量比_openapi,竞价涨幅今日,个股热度排名昨日,昨日炸板_openapi,大单动向(ddx值)昨日
20251111,000572.SZ,海马汽车,汽车,0.0022766158661826,8.0,179834800.0,10355041.0,0.05758085198193008,0.026786259907672257,1.1,1.089,-4.434,2,1.0,-10912.719
20251117,300502.SZ,新易盛,通信,0.0064087343559104,3.0,62381932.0,295470.2,0.004736470810169842,0.006146733613832904,0.0,0.692,1.207,98,,-1089.226
20251125,002474.SZ,榕基软件,计算机,0.0034294742115099,15.0,154162320.0,10605636.3,0.06879525619489898,0.033313626916317104,2.5,1.627,-7.624,5,,-1575.63
20251125,002402.SZ,和而泰,电子,0.0116872951173041,3.0,51844697.0,3339418.0,0.06441194940342693,0.010955605679442818,0.1,2.436,-1.0,33,,-3145.589
20251125,000566.SZ,海南海药,医药生物,0.0030815603135445,19.0,51834288.0,1964966.0,0.037908613696015274,0.019299303676225576,0.6,0.822,1.178,28,,-11421.535
20251128,002413.SZ,雷科防务,国防军工,0.0007501965514964,5.0,61632900.0,-1092021.0,-0.01771815053323793,0.01550788633322289,0.7000000000000001,0.848,0.575,12,,-18301.952
20251201,000070.SZ,特发信息,通信,0.0084244488259543,3.0,106187061.0,13606837.0,0.12814025430085121,0.027729553461271438,0.8999999999999999,0.666,-3.712,6,,-5957.215
20251201,000063.SZ,中兴通讯,通信,0.0084244488259543,3.0,63411810.0,1383870.0,0.021823537287454814,0.010753792866735104,0.0,0.923,0.855,66,,-824.099
20251205,002565.SZ,顺灏股份,轻工制造,0.0002409058058296,5.0,90518450.0,7369450.0,0.08141378912254905,0.021912864710773323,0.8,0.933,1.664,9,,-978.922
20251205,000078.SZ,海王生物,医药生物,0.0002616478292232,4.0,115332719.0,8255937.0,0.0715836500828529,0.031538574873019885,0.8999999999999999,1.08,0.208,4,1.0,6482.892
20251208,300502.SZ,新易盛,通信,0.0024221303746543,11.0,70111428.0,561179.52,0.008004109116134391,0.005242331071721254,0.0,0.473,-0.633,77,,-453.306
20251219,001208.SZ,华菱线缆,电力设备,0.0053463261011597,4.0,68379258.0,2826120.0,0.041330077024234455,0.02130951819366768,1.2,0.336,0.753,15,,-785.37
20251219,300308.SZ,中际旭创,通信,0.0125038018316379,1.0,246601150.0,7151748.4,0.02900127756906243,0.017867203625083754,0.0,0.965,2.125,71,,-44.093
20251219,002491.SZ,通鼎互联,通信,0.0125038018316379,1.0,72407780.0,383540.0,0.005296944610095766,0.03875731348460524,1.0,4.778,-2.458,39,1.0,-1319.442
20251222,300308.SZ,中际旭创,通信,0.0191708723595522,1.0,540095150.0,6608112.0,0.012235088576522118,0.04209436684573604,0.1,2.124,3.203,88,,-621.028
20251222,000592.SZ,平潭发展,农林牧渔,0.0011482332024594,22.0,157180680.0,975489.55,0.00620616700474893,0.026679901285515763,0.6,1.693,-0.662,1,,-13230.66
20251224,002792.SZ,通宇通讯,通信,0.0016793184915619,5.0,59178339.0,213164.64,0.0036020720351748977,0.012333059155919814,0.6,0.542,-5.421,21,,-2781.08
20251231,002149.SZ,西部材料,有色金属,0.000397920713997,17.0,62470332.0,7535604.0,0.12062692415337252,0.012648177850435347,0.3,0.828,1.651,38,,-2983.774
