初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选池行数,候选交易日,基线宇宙覆盖率,验证期末净值,验证期总收益率,验证期最大回撤,验证期交易笔数,验证期胜率,验证期收益回撤比,验证期交易日,总收益率增量,验证期总收益率增量,最大回撤改善
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,尾段基线,103,56,1.0,1.71524297,0.71524297,-0.1016851276674321,23,0.5217391304347826,7.033899513203634,17,0.0,0.0,0.0
1000000.0,5580564.4,5.5805644,4.5805644,-0.13509144339471857,67.0,0.582089552238806,0.04269837313432836,33.90713937829669,0.0,竞价换手率优先排序,103,56,1.0,1.6761384799999999,0.6761384799999999,-0.11410694164135426,23,0.5217391304347826,5.925480696215207,17,-0.47716502000000016,-0.03910449000000016,0.01082322406438918
1000000.0,5580564.4,5.5805644,4.5805644,-0.13509144339471857,67.0,0.582089552238806,0.04269837313432836,33.90713937829669,0.0,竞价换手率+尾段双优先排序,103,56,1.0,1.6761384799999999,0.6761384799999999,-0.11410694164135426,23,0.5217391304347826,5.925480696215207,17,-0.47716502000000016,-0.03910449000000016,0.01082322406438918
1000000.0,5569116.53,5.5691165300000005,4.5691165300000005,-0.13509144463442035,67.0,0.582089552238806,0.04250923880597015,33.82239743134571,0.0,竞价量比优先排序,103,56,1.0,1.71524297,0.71524297,-0.1016851276674321,23,0.5217391304347826,7.033899513203634,17,-0.48861288999999974,0.0,0.010823225304090967
1000000.0,5441976.6,5.441976599999999,4.441976599999999,-0.13565960836031343,58.0,0.603448275862069,0.052345655172413796,32.743545803273,0.0,竞价换手率>=0.1,80,46,0.776699,1.68028447,0.6802844699999999,-0.13157032327949336,18,0.5555555555555556,5.170500862530217,14,-0.6157528200000009,-0.034958500000000114,0.011391389029984045
1000000.0,5439040.49,5.43904049,4.43904049,-0.16913500690434413,69.0,0.5942028985507246,0.04138708695652174,26.245545326465386,0.0,竞价涨幅温和优先排序,103,56,1.0,1.5720235900000001,0.5720235900000001,-0.16913500435255358,23,0.4782608695652174,3.3820532431456067,17,-0.6186889300000002,-0.1432193799999999,0.044866787574014744
1000000.0,5120018.06,5.12001806,4.12001806,-0.13337035656124896,22.0,0.7272727272727273,0.10345531818181818,30.891557661150316,0.0,"竞价换手率>=0.2+竞价涨幅[-2,2]",30,25,0.291262,1.5251478500000002,0.5251478500000002,-0.04476543534743571,7,0.5714285714285714,11.731101148111188,7,-0.9377113600000007,-0.19009511999999984,0.009102137230919571
1000000.0,4984285.66,4.98428566,3.9842856600000003,-0.15243920049356985,43.0,0.6046511627906976,0.06415746511627907,26.13688373528346,0.0,竞价换手率>=0.2,62,38,0.601942,1.39454277,0.39454276999999993,-0.12410955987823924,14,0.5714285714285714,3.178987745884168,10,-1.07344376,-0.3207002000000001,0.02817098116324046
1000000.0,4765841.0,4.765841,3.765841,-0.2341678117091015,54.0,0.6481481481481481,0.05195498148148148,16.08180463623315,0.0,竞价涨幅<=2,74,48,0.718447,1.4387431899999998,0.43874318999999984,-0.10172803233997274,17,0.47058823529411764,4.3129035321722355,13,-1.2918884200000003,-0.2764997800000002,0.10989959237877212
1000000.0,4651619.14,4.651619139999999,3.6516191399999993,-0.17463099478437405,25.0,0.72,0.08582952,20.91048696429201,0.0,竞价换手率>=0.5,34,25,0.330097,1.32617996,0.32617995999999994,-0.04506788237190207,6,0.8333333333333334,7.237525768536208,4,-1.406110280000001,-0.3890630100000001,0.05036277545404466
1000000.0,4636399.32,4.636399320000001,3.6363993200000007,-0.18370431234102835,44.0,0.5909090909090909,0.05514600000000001,19.79485006998309,0.0,热度<=30,60,39,0.582524,1.48089291,0.4808929099999999,-0.1837043131992422,16,0.4375,2.6177551393604603,14,-1.4213300999999996,-0.23435006000000014,0.059436093010698965
1000000.0,4327201.31,4.3272013099999995,3.3272013099999995,-0.13951927035268596,59.0,0.6101694915254238,0.04741893220338984,23.847611169333682,0.0,热度<=60,83,47,0.805825,1.64919398,0.64919398,-0.13951926723130037,20,0.55,4.653077620625267,16,-1.7305281100000007,-0.06604899000000009,0.015251051022356577
1000000.0,4297212.39,4.297212389999999,3.2972123899999994,-0.13962826396730166,58.0,0.6206896551724138,0.04801341379310345,23.614218900352046,0.0,竞价涨幅<=3,84,49,0.815534,1.34609973,0.34609972999999994,-0.13618019793782132,18,0.4444444444444444,2.541483528743482,14,-1.7605170300000008,-0.3691432400000001,0.01536004463697227
1000000.0,4273618.2,4.2736182000000005,3.2736182000000005,-0.13082346379848042,41.0,0.6829268292682927,0.050416731707317065,25.023173251570984,0.0,"竞价涨幅[-2,2]",55,41,0.533981,1.4440611200000002,0.4440611200000002,-0.10172803609601289,14,0.42857142857142855,4.365179325597977,13,-1.7841112199999998,-0.27118184999999984,0.0065552444681510336
