日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,竞价未匹配占比,竞昨成交比估算,大单动向(ddx值)昨日,个股热度排名昨日,实体涨跌幅昨日,实体涨跌幅前日
20251231,600151.SH,航天机电,电力设备,0.0012475981280135,0.05104239459585372,0.009669900654709527,-10357.966,23,-6.839,11.524
20251231,600783.SH,鲁信创投,机械设备,0.0020671042424409,0.026205527453762464,0.03661874124947892,-2969.562,40,-11.947,0.0
20251231,603123.SH,翠微股份,商贸零售,0.0036928726312028,0.004490018575944483,0.03250886732066083,-5772.822,8,-3.59,11.088
20260105,600343.SH,航天动力,机械设备,0.0016180552649565,0.051992427666008735,0.023719960445336613,714.357,18,2.234,7.711
20260105,002009.SZ,天奇股份,机械设备,0.0016180552649565,-0.0008382840689579765,0.017655458744537875,-805.197,16,-8.31,7.625
20260106,002347.SZ,泰尔股份,机械设备,0.0006918164075029,0.06293098518879678,0.018041450123604603,4010.42,12,-0.379,3.512
20260106,002565.SZ,顺灏股份,轻工制造,0.0002118523226348,0.03348916790049375,0.011135710227454488,-2090.877,11,-8.617,5.043
20260107,002600.SZ,领益智造,电子,0.0109892495842121,0.021470752773066645,0.013346166374584526,-1085.891,93,-0.559,2.181
20260108,603667.SH,五洲新春,机械设备,4.52140887108321e-06,0.006037243268262006,0.009700856432485808,-2266.435,36,0.84,4.069
20260108,002163.SZ,海南发展,建筑装饰,0.0014433969158809,0.0005546751188589541,0.017026516183211084,-4672.797,52,-0.048,7.346
20260109,600266.SH,城建发展,房地产,0.0003315982599818,-0.0033639424991852847,0.028450486231101985,-5045.396,29,-3.709,0.0
20260112,600151.SH,航天机电,电力设备,0.0006625698081472,0.11215060545726767,0.01112212322387138,-6214.303,27,-3.628,9.057
20260112,002324.SZ,普利特,基础化工,0.0032010800923303,0.0348124635833315,0.018832149161887343,-8174.134,29,-8.8,0.0
20260112,300065.SZ,海兰信,国防军工,0.0213049563459444,0.00460432696913547,0.013895669376951233,-7240.184,77,-6.42,19.745
20260113,002757.SZ,南兴股份,机械设备,0.0015730405057932,0.014982278578636184,0.02152881970285687,2516.797,26,4.287,8.696
20260114,002230.SZ,科大讯飞,计算机,0.0010625974117683,0.009061606317350672,0.004556558184176595,-7133.445,40,-0.213,3.652
20260116,603881.SH,数据港,通信,0.0075988693638944,0.011787256474590163,0.01612245716945972,-3269.881,46,-4.55,7.298
20260119,603993.SH,洛阳钼业,有色金属,0.0010164978883213,0.006282856776509809,0.00708686185781001,-8670.6,50,0.331,3.219
20260120,002716.SZ,湖南白银,有色金属,0.005002623494664,-0.05356442119032047,0.00939426957692361,5797.447,54,-1.915,5.989
20260121,000657.SZ,中钨高新,有色金属,0.0027229529850147,0.009467220404872786,0.011673716956419744,-1047.395,72,-5.98,7.618
20260122,002498.SZ,汉缆股份,电力设备,0.0017694466202915,0.1418445999822805,0.02137583468715139,5428.721,32,-0.871,0.0
20260122,002201.SZ,九鼎新材,建筑材料,0.0058105963424879,0.014664999977368693,0.02239230644972459,-6551.315,43,-10.638,1.826
20260122,300136.SZ,信维通信,电子,0.0154665468779386,0.007383304172022373,0.013466145864049777,-6245.01,20,-8.363,0.741
20260123,601899.SH,紫金矿业,有色金属,0.0161566465378173,0.004880983333575739,0.013595086967524905,4109.249,60,0.427,0.98
20260126,601212.SH,白银有色,有色金属,0.0263567990373043,0.14465739714067893,0.051056054016929635,10126.188,12,0.0,14.303
20260128,000630.SZ,铜陵有色,有色金属,0.0096495477647315,0.0017113364722926476,0.008730178028461448,-4547.213,13,0.931,3.425
20260203,002455.SZ,百川股份,基础化工,0.013897254969452,0.06843168716943009,0.026601033692296005,-7056.114,35,-5.258,3.564
20260203,002165.SZ,红宝丽,基础化工,0.013897254969452,0.04993733644006776,0.020494867050466343,-6871.758,5,-2.506,13.713
20260203,002995.SZ,天地在线,传媒,0.0159900168148985,0.045327025688981795,0.03757860526099473,-150.556,15,0.4,4.576
20260209,600519.SH,贵州茅台,食品饮料,0.0003855981170055,0.03971694581637705,0.010507660150562183,-185.846,98,-2.572,2.303
20260209,000592.SZ,平潭发展,农林牧渔,0.0022434964292441,0.012494832713258925,0.01394984733643183,-13540.122,9,-3.167,9.537
20260209,601138.SH,工业富联,电子,0.0207499890735856,0.011977186311787073,0.01972115318299115,1361.267,39,2.642,3.08
20260210,002361.SZ,神剑股份,基础化工,0.0005025053774203,-0.0008791447332718294,0.012406167524154554,-7737.196,10,-3.737,8.085
20260211,300058.SZ,蓝色光标,传媒,0.0009608907556366,0.007024561777124919,0.009862104673518647,-21340.706,6,-2.047,1.117
20260212,603881.SH,数据港,通信,0.0065609389811374,-0.0008123292613782796,0.015864838423049584,-1363.227,24,2.364,6.861
20260224,600111.SH,北方稀土,有色金属,0.0341663182719063,0.04222524912180085,0.011741385408681432,-3850.34,95,-3.965,1.936
20260225,600410.SH,华胜天成,计算机,0.0015933167604249,0.022448220265409897,0.008862355070929091,-10951.179,3,-8.346,11.813
20260225,300017.SZ,网宿科技,计算机,0.0015933167604249,-0.008858128552441818,0.007655797168546595,0.0,25,-5.417,0.044
20260312,002969.SZ,嘉美包装,轻工制造,0.0020523005627275,-0.050682261208576995,0.019630038760279262,-2202.819,23,-6.556,5.755
20260325,002310.SZ,东方新能,建筑装饰,0.0057565679635638,0.006074465298378019,0.014134831695031578,9951.631,4,-1.302,6.094
20260325,002594.SZ,比亚迪,汽车,0.0064917475031218,0.0019534672944598293,0.007622315830725967,-44.258,29,-1.624,3.62
20260401,002309.SZ,中利集团,电力设备,0.013991428022402,0.15865705513282605,0.018548994278941154,13551.083,3,2.917,11.737
20260401,002149.SZ,西部材料,有色金属,0.0249474835107976,0.009481784267417928,0.015617258970548211,-2916.113,9,-1.829,9.928
