市场仓位策略,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,平均持有自然日
市场60_200到299半仓,4645971.65,4.645971650000001,3.645971650000001,-0.18306238451943335,105,0.5904761904761905,0.03772256190476191,19.91655281652335,1.9333333333333333
市场60_200到399半仓,4547548.52,4.547548519999999,3.5475485199999994,-0.18379495239999555,109,0.5963302752293578,0.039254165137614684,19.30166456519121,1.944954128440367
基线满仓,5039279.59,5.03927959,4.03927959,-0.2100546588984844,100,0.59,0.03890664,19.229659609464363,1.98
市场60_200到399七成仓,4680200.91,4.68020091,3.68020091,-0.1962572298921329,109,0.5963302752293578,0.039254165137614684,18.751925276957774,1.944954128440367
市场60_300以上半仓,4091859.82,4.09185982,3.09185982,-0.17022165561879388,108,0.5925925925925926,0.03826531481481482,18.16372780983945,1.9537037037037037
市场60_200到299空仓,2890029.02,2.89002902,1.89002902,-0.1560701061630202,91,0.5604395604395604,0.03142630769230769,12.110128367733694,1.9230769230769231
