日期,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差
2025-12-25,3959.62,900,68,832,302,27,275,222,15,207
2025-12-26,3963.68,636,151,485,280,66,214,224,36,188
2025-12-29,3965.28,646,366,280,253,191,62,174,118,56
2025-12-30,3965.12,602,540,62,215,296,-81,161,195,-34
2025-12-31,3968.84,581,480,101,260,266,-6,197,178,19
2026-01-05,4023.42,1089,88,1001,333,33,300,225,20,205
2026-01-06,4083.67,1441,53,1388,460,10,450,333,6,327
2026-01-07,4085.77,1136,137,999,447,49,398,344,26,318
2026-01-08,4082.98,1541,86,1455,494,27,467,357,12,345
2026-01-09,4120.43,2070,62,2008,710,22,688,464,12,452
2026-01-12,4165.29,2610,78,2532,1063,24,1039,647,13,634
2026-01-13,4138.76,1054,137,917,406,37,369,300,11,289
2026-01-14,4126.09,1090,187,903,586,69,517,392,31,361
2026-01-15,4112.6,848,216,632,391,106,285,277,56,221
2026-01-16,4101.91,935,282,653,431,145,286,301,87,214
2026-01-19,4114.0,1354,137,1217,572,79,493,414,50,364
2026-01-20,4113.65,1081,192,889,445,44,401,326,21,305
2026-01-21,4116.94,1246,199,1047,612,91,521,430,63,367
2026-01-22,4122.58,1348,128,1220,611,72,539,429,46,383
2026-01-23,4136.16,1548,80,1468,801,52,749,536,36,500
2026-01-26,4132.61,941,297,644,502,106,396,380,53,327
2026-01-27,4139.9,562,435,127,427,182,245,317,106,211
2026-01-28,4151.24,688,674,14,485,209,276,373,126,247
2026-01-29,4157.98,542,765,-223,336,166,170,253,77,176
2026-01-30,4117.95,451,815,-364,286,191,95,210,123,87
2026-02-02,4015.75,121,1772,-1651,97,481,-384,72,309,-237
2026-02-03,4067.74,372,184,188,274,109,165,208,82,126
2026-02-04,4102.2,539,210,329,325,53,272,245,33,212
2026-02-05,4075.92,359,582,-223,200,95,105,151,52,99
2026-02-06,4065.58,340,426,-86,198,63,135,144,38,106
2026-02-09,4123.09,662,52,610,400,18,382,280,11,269
2026-02-10,4128.37,532,129,403,356,33,323,234,18,216
2026-02-11,4131.98,442,205,237,302,44,258,200,23,177
2026-02-12,4134.02,403,399,4,332,121,211,241,77,164
2026-02-13,4082.07,232,687,-455,177,186,-9,130,129,1
2026-02-24,4117.41,610,264,346,459,68,391,301,46,255
2026-02-25,4147.23,709,94,615,550,27,523,344,17,327
2026-02-26,4146.63,874,327,547,688,127,561,445,82,363
2026-02-27,4162.88,914,182,732,686,70,616,440,51,389
2026-03-02,4182.59,636,1284,-648,469,465,4,361,320,41
2026-03-03,4122.68,272,2350,-2078,217,941,-724,163,649,-486
2026-03-04,4082.47,223,2193,-1970,173,1061,-888,140,778,-638
2026-03-05,4108.57,339,385,-46,245,184,61,188,131,57
2026-03-06,4124.19,541,95,446,383,26,357,277,17,260
2026-03-09,4096.6,464,566,-102,336,245,91,246,159,87
2026-03-10,4123.14,595,47,548,421,14,407,309,8,301
2026-03-11,4133.43,602,183,419,431,59,372,311,30,281
2026-03-12,4129.1,548,545,3,398,181,217,301,102,199
2026-03-13,4095.45,349,831,-482,237,296,-59,169,169,0
2026-03-16,4084.79,343,547,-204,217,142,75,145,82,63
2026-03-17,4049.91,190,1453,-1263,114,494,-380,84,276,-192
2026-03-18,4062.98,239,447,-208,155,200,-45,104,136,-32
2026-03-19,4006.55,131,2213,-2082,91,1046,-955,71,695,-624
2026-03-20,3957.05,118,3170,-3052,85,1745,-1660,60,1189,-1129
2026-03-23,3813.28,61,4153,-4092,50,2845,-2795,39,2145,-2106
2026-03-24,3881.28,144,146,-2,108,71,37,89,46,43
2026-03-25,3931.84,218,61,157,168,28,140,125,16,109
2026-03-26,3889.08,175,448,-273,126,268,-142,95,196,-101
2026-03-27,3913.72,224,102,122,143,49,94,107,27,80
2026-03-30,3923.29,244,288,-44,133,175,-42,105,130,-25
2026-03-31,3891.86,161,746,-585,84,431,-347,61,289,-228
2026-04-01,3948.55,311,129,182,117,49,68,92,29,63
2026-04-02,3919.29,228,816,-588,100,515,-415,73,358,-285
2026-04-03,3880.1,130,1661,-1531,77,1169,-1092,62,846,-784
2026-04-07,3890.16,176,460,-284,104,309,-205,85,208,-123
2026-04-08,3995.0,395,35,360,174,15,159,151,13,138
2026-04-09,3966.17,369,118,251,189,65,124,163,47,116
2026-04-10,3986.22,394,79,315,171,33,138,141,18,123
2026-04-13,3988.56,444,127,317,196,75,121,159,47,112
2026-04-14,4026.63,689,97,592,225,49,176,178,30,148
2026-04-15,4027.21,445,137,308,178,71,107,154,48,106
2026-04-16,4055.55,1011,68,943,282,35,247,227,19,208
2026-04-17,4051.43,1172,187,985,295,109,186,250,74,176
2026-04-20,4082.13,1378,127,1251,281,80,201,233,53,180
2026-04-21,4085.08,897,241,656,272,108,164,232,70,162
