日期,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差
2024-08-15,2877.36,395,224,171,70,149,-79,27,100,-73
2024-08-16,2879.43,367,686,-319,103,442,-339,42,326,-284
2024-08-19,2893.67,336,798,-462,91,525,-434,45,375,-330
2024-08-20,2866.66,167,1715,-1548,49,1203,-1154,23,898,-875
2024-08-21,2856.58,160,1478,-1318,47,953,-906,19,750,-731
2024-08-22,2848.77,125,2798,-2673,47,1700,-1653,29,1367,-1338
2024-08-23,2854.37,150,2354,-2204,63,1435,-1372,31,1143,-1112
2024-08-26,2855.52,207,621,-414,78,384,-306,26,294,-268
2024-08-27,2848.73,148,2040,-1892,64,1284,-1220,25,987,-962
2024-08-28,2837.43,171,895,-724,52,570,-518,14,429,-415
2024-08-29,2823.11,347,307,40,85,174,-89,18,119,-101
2024-08-30,2842.21,670,102,568,138,47,91,30,25,5
2024-09-02,2811.04,306,664,-358,121,460,-339,28,354,-326
2024-09-03,2802.98,562,320,242,162,205,-43,29,138,-109
2024-09-04,2784.28,308,652,-344,92,436,-344,22,310,-288
2024-09-05,2788.31,499,195,304,135,137,-2,28,89,-61
2024-09-06,2765.81,160,1075,-915,76,792,-716,19,591,-572
2024-09-09,2736.49,165,1075,-910,68,835,-767,12,671,-659
2024-09-10,2744.19,287,597,-310,92,449,-357,17,383,-366
2024-09-11,2721.8,253,920,-667,106,660,-554,19,522,-503
2024-09-12,2717.12,231,974,-743,97,700,-603,16,517,-501
2024-09-13,2704.09,193,1857,-1664,86,1420,-1334,14,1132,-1118
2024-09-18,2717.28,254,2002,-1748,94,1544,-1450,24,1258,-1234
2024-09-19,2736.02,567,113,454,173,70,103,32,45,-13
2024-09-20,2736.81,520,464,56,170,342,-172,27,264,-237
2024-09-23,2748.92,511,495,16,175,357,-182,27,288,-261
2024-09-24,2863.13,1665,18,1647,438,3,435,56,1,55
2024-09-25,2896.31,1943,11,1932,570,4,566,80,1,79
2024-09-26,3000.95,3417,8,3409,1284,2,1282,175,0,175
2024-09-27,3087.53,4449,7,4442,2268,1,2267,348,1,347
2024-09-30,3336.5,4955,2,4953,4061,0,4061,1463,0,1463
2024-10-08,3489.78,4754,4,4750,4449,1,4448,2527,0,2527
2024-10-09,3258.86,267,17,250,255,6,249,214,1,213
2024-10-10,3301.93,129,21,108,121,6,115,89,2,87
2024-10-11,3217.74,69,14,55,60,2,58,47,0,47
2024-10-14,3284.32,184,6,178,171,1,170,133,1,132
2024-10-15,3201.29,140,8,132,136,1,135,103,0,103
2024-10-16,3202.95,179,7,172,173,1,172,122,1,121
2024-10-17,3169.38,151,19,132,148,3,145,119,0,119
2024-10-18,3261.56,301,2,299,291,0,291,236,0,236
2024-10-21,3268.11,476,21,455,460,6,454,365,3,362
2024-10-22,3285.87,388,5,383,371,0,371,266,0,266
2024-10-23,3302.8,399,5,394,386,1,385,287,1,286
2024-10-24,3280.26,321,6,315,304,1,303,217,1,216
2024-10-25,3299.7,570,13,557,548,5,543,399,1,398
2024-10-28,3322.2,1012,8,1004,972,3,969,701,1,700
2024-10-29,3286.41,431,29,402,417,5,412,335,3,332
2024-10-30,3266.24,531,81,450,507,6,501,410,3,407
2024-10-31,3279.82,733,154,579,711,11,700,565,5,560
2024-11-01,3272.01,282,475,-193,275,5,270,214,3,211
2024-11-04,3310.21,399,27,372,384,4,380,289,3,286
2024-11-05,3386.99,1425,3,1422,816,0,816,641,0,641
2024-11-06,3383.81,1303,25,1278,824,5,819,661,2,659
2024-11-07,3470.66,2310,7,2303,1261,0,1261,1020,0,1020
2024-11-08,3452.3,1204,19,1185,768,0,768,663,0,663
2024-11-11,3470.07,2193,44,2149,1351,2,1349,1145,0,1145
2024-11-12,3421.97,840,64,776,515,6,509,430,0,430
2024-11-13,3439.28,764,18,746,498,0,498,420,0,420
2024-11-14,3379.84,196,115,81,163,1,162,144,0,144
2024-11-15,3330.73,227,331,-104,171,4,167,150,3,147
2024-11-18,3323.85,170,856,-686,133,3,130,117,3,114
2024-11-19,3346.01,212,51,161,156,3,153,137,2,135
2024-11-20,3367.99,477,27,450,348,0,348,316,0,316
2024-11-21,3370.4,470,66,404,349,1,348,309,1,308
2024-11-22,3267.19,180,1098,-918,163,21,142,159,14,145
2024-11-25,3263.76,326,467,-141,271,19,252,256,11,245
2024-11-26,3259.76,231,713,-482,176,18,158,158,13,145
2024-11-27,3309.78,358,58,300,258,3,255,240,1,239
2024-11-28,3295.7,397,251,146,318,10,308,292,8,284
