初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选交易日,候选覆盖率,验证期总收益率,验证期最大回撤,验证期交易笔数,验证期收益回撤比,验证期交易日,总收益率增量,验证期总收益率增量
1000000.0,6550330.32,6.5503303200000005,5.5503303200000005,-0.1512343505712196,53.0,0.6037735849056604,0.04913967924528302,36.70019608003162,0.0,当前正式基线,54,1.0,0.3363379900000001,-0.10172803636355532,17,3.306246753825037,17,0.0,0.0
1000000.0,6550330.32,6.5503303200000005,5.5503303200000005,-0.1512343505712196,53.0,0.6037735849056604,0.04913967924528302,36.70019608003162,0.0,DDX二排序,54,1.0,0.3363379900000001,-0.10172803636355532,17,3.306246753825037,17,0.0,0.0
1000000.0,6475645.15,6.47564515,5.47564515,-0.1512343505712196,53.0,0.6037735849056604,0.048507396226415096,36.20635873608224,0.0,DDX优先排序,54,1.0,0.3211014099999998,-0.10381814478938511,17,3.0929218649727868,17,-0.07468517000000041,-0.015236580000000277
1000000.0,3034265.44,3.03426544,2.03426544,-0.2259229994604688,40.0,0.55,0.03983045,9.004242351854701,0.0,DDX>=-5000,40,0.613636,0.7043806799999999,-0.22592299824410567,12,3.1177909529995236,14,-3.5160648800000005,0.3680426899999998
1000000.0,2674099.8,2.6740998,1.6740998,-0.33792911195574193,36.0,0.5277777777777778,0.03890969444444444,4.953996979754897,0.0,DDX>=-3000,36,0.534091,0.45776302999999996,-0.33792911116669766,12,1.3546125943976137,12,-3.8762305200000005,0.12142503999999987
1000000.0,2663554.03,2.66355403,1.6635540299999998,-0.18857350861355537,8.0,0.75,0.145062625,8.821780122939375,0.0,DDX>=3000,10,0.113636,0.774251,-0.18857351181199478,4,4.105831156031701,6,-3.8867762900000007,0.43791300999999994
1000000.0,2450543.59,2.4505435899999997,1.4505435899999997,-0.19255321353776378,12.0,0.5,0.08987674999999999,7.533208941825929,0.0,DDX>=1000,14,0.159091,0.76554904,-0.1925532142836558,5,3.9757790741018075,7,-4.099786730000001,0.4292110499999999
1000000.0,1838714.57,1.83871457,0.83871457,-0.3197772948073063,14.0,0.35714285714285715,0.05748964285714286,2.6228083845208543,0.0,DDX>=0,18,0.204545,0.5895348500000002,-0.27305060909206236,6,2.1590680641962283,8,-4.71161575,0.2531968600000001
1000000.0,1838714.57,1.83871457,0.83871457,-0.3197772948073063,14.0,0.35714285714285715,0.05748964285714286,2.6228083845208543,0.0,DDX>=0+优先排序,18,0.204545,0.5895348500000002,-0.27305060909206236,6,2.1590680641962283,8,-4.71161575,0.2531968600000001
1000000.0,1400709.77,1.40070977,0.40070976999999997,-0.3271610864514656,24.0,0.3333333333333333,0.02126520833333333,1.2248087764540583,0.0,DDX>=-1000,26,0.352273,0.4712178200000001,-0.32716108830748236,9,1.4403235495937892,9,-5.149620550000001,0.13487983000000003
1000000.0,1400709.77,1.40070977,0.40070976999999997,-0.3271610864514656,24.0,0.3333333333333333,0.02126520833333333,1.2248087764540583,0.0,DDX>=-1000+优先排序,26,0.352273,0.4712178200000001,-0.32716108830748236,9,1.4403235495937892,9,-5.149620550000001,0.13487983000000003
