分仓策略,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,平均持有自然日,平均单笔分配资金,权重1,权重2,权重3
竞昨比权重_0.35_0.35_0.30,5011182.66,5.01118266,4.01118266,-0.21271070581664664,100,0.59,0.038906640000000006,18.85745545622691,1.98,1133927.7886,0.35,0.35,0.30000000000000004
竞昨比权重_0.40_0.40_0.20,4921077.36,4.92107736,3.92107736,-0.22061321815766755,100,0.59,0.038906640000000006,17.77353774513044,1.98,1117013.5932999998,0.4,0.4,0.19999999999999996
竞昨比权重_0.40_0.35_0.25,4917036.16,4.91703616,3.9170361600000003,-0.2183632268304504,100,0.59,0.038906640000000006,17.93816759742889,1.98,1130053.0977,0.4,0.35,0.25
竞昨比权重_0.40_0.30_0.30,4912328.6,4.9123285999999995,3.9123285999999995,-0.21607827871960494,100,0.59,0.038906640000000006,18.106070740580325,1.98,1143868.4651000001,0.4,0.3,0.3
竞昨比权重_0.45_0.45_0.10,4822651.16,4.82265116,3.8226511600000004,-0.2284188002053491,100,0.59,0.038906640000000006,16.735273789037624,1.98,1099071.3706,0.45,0.45,0.10000000000000003
竞昨比权重_0.45_0.40_0.15,4819458.26,4.81945826,3.81945826,-0.22622726706496954,100,0.59,0.038906640000000006,16.883279851951272,1.98,1111391.9702,0.45,0.4,0.15000000000000002
竞昨比权重_0.45_0.35_0.20,4815149.31,4.81514931,3.81514931,-0.22400338161361277,100,0.59,0.038906640000000006,17.03165944423471,1.98,1124264.2497999999,0.45,0.35,0.20000000000000007
竞昨比权重_0.45_0.30_0.25,4809947.9,4.8099479,3.8099479,-0.22174432065702476,100,0.59,0.038906640000000006,17.181715809952596,1.98,1137818.7488,0.45,0.3,0.25000000000000006
竞昨比权重_0.50_0.45_0.05,4714565.19,4.71456519,3.71456519,-0.2339945559571659,100,0.59,0.038906640000000006,15.874579537995634,1.98,1091959.2563,0.5,0.45,0.04999999999999999
竞昨比权重_0.50_0.40_0.10,4711312.66,4.71131266,3.71131266,-0.23182963444607418,100,0.59,0.038906640000000006,16.00879313323201,1.98,1104158.5731000004,0.5,0.4,0.09999999999999998
竞昨比权重_0.50_0.35_0.15,4706806.17,4.70680617,3.70680617,-0.22963228746763775,100,0.59,0.038906640000000006,16.14235615939855,1.98,1116847.6606,0.5,0.35,0.15000000000000002
竞昨比权重_0.50_0.30_0.20,4701217.62,4.70121762,3.7012176200000004,-0.22739969673118254,100,0.59,0.038906640000000006,16.276264538625767,1.98,1130136.7178,0.5,0.3,0.2
竞昨比权重_0.50_0.25_0.25,4694780.89,4.69478089,3.6947808899999997,-0.225128368437574,100,0.59,0.038906640000000006,16.411884986518384,1.98,1144164.2873999998,0.5,0.25,0.25
竞昨比权重_0.55_0.40_0.05,4597699.99,4.597699990000001,3.5976999900000006,-0.23742120566653702,100,0.59,0.038906640000000006,15.153237807464615,1.98,1095529.8871000002,0.55,0.4,0.04999999999999993
竞昨比权重_0.55_0.35_0.10,4593083.33,4.59308333,3.59308333,-0.23525084469718094,100,0.59,0.038906640000000006,15.273413086465558,1.98,1108031.4491,0.55,0.35,0.09999999999999998
竞昨比权重_0.55_0.30_0.15,4587229.24,4.58722924,3.58722924,-0.2330452880246039,100,0.59,0.038906640000000006,15.392841753664962,1.98,1121061.4085000001,0.55,0.3,0.14999999999999997
竞昨比权重_0.55_0.25_0.20,4580312.81,4.58031281,3.5803128099999997,-0.23080112187770052,100,0.59,0.038906640000000006,15.512545090214838,1.98,1134735.8908,0.55,0.25,0.19999999999999996
