日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日
20251219,002491.SZ,通鼎互联,通信,0.0125038018316379,72407780.0,383540.0,0.005296944610095766,0.03875731348460524,39
20251222,300308.SZ,中际旭创,通信,0.0191708723595522,540095150.0,6608112.0,0.012235088576522118,0.04209436684573604,88
20251222,000592.SZ,平潭发展,农林牧渔,0.0011482332024594,157180680.0,975489.55,0.00620616700474893,0.026679901285515763,1
20251224,002792.SZ,通宇通讯,通信,0.0016793184915619,59178339.0,213164.64,0.0036020720351748977,0.012333059155919814,21
20251231,002149.SZ,西部材料,有色金属,0.000397920713997,62470332.0,7535604.0,0.12062692415337252,0.012648177850435347,38
20251231,600151.SH,航天机电,电力设备,0.0012475981280135,59792904.0,3051973.0,0.05104239459585372,0.009669900654709527,23
20251231,600783.SH,鲁信创投,机械设备,0.0020671042424409,104890104.0,2748700.5,0.026205527453762464,0.03661874124947892,40
20260105,600343.SH,航天动力,机械设备,0.0016180552649565,169435210.0,8809347.9,0.051992427666008735,0.023719960445336613,18
20260105,002009.SZ,天奇股份,机械设备,0.0016180552649565,63598966.0,-53314.0,-0.0008382840689579765,0.017655458744537875,16
20260106,002347.SZ,泰尔股份,机械设备,0.0006918164075029,57344227.0,3608728.7,0.06293098518879678,0.018041450123604603,12
20260106,002565.SZ,顺灏股份,轻工制造,0.0002118523226348,76065494.0,2547370.1,0.03348916790049375,0.011135710227454488,11
20260107,002600.SZ,领益智造,电子,0.0109892495842121,66582244.0,1429570.9,0.021470752773066645,0.013346166374584526,93
20260108,603667.SH,五洲新春,机械设备,4.52140887108321e-06,59313323.0,358088.96,0.006037243268262006,0.009700856432485808,36
20260108,002163.SZ,海南发展,建筑装饰,0.0014433969158809,52499200.0,29120.0,0.0005546751188589541,0.017026516183211084,52
20260109,600266.SH,城建发展,房地产,0.0003315982599818,98454605.0,-331195.63,-0.0033639424991852847,0.028450486231101985,29
20260112,600151.SH,航天机电,电力设备,0.0006625698081472,67619223.0,7583536.8,0.11215060545726767,0.01112212322387138,27
20260112,002324.SZ,普利特,基础化工,0.0032010800923303,120278026.0,4187174.4,0.0348124635833315,0.018832149161887343,29
