卖点策略,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,平均持有自然日,1日交易占比,开盘卖出笔数,开盘卖出占比
基线,5039279.59,5.03927959,4.03927959,-0.2100546588984844,100,0.59,0.03890664,19.229659609464363,1.98,0.62,0,0.0
近高强势多拿,4013329.72,4.01332972,3.0133297199999998,-0.21005466073430767,98,0.5408163265306123,0.037734836734693876,14.345455175648196,2.2244897959183674,0.5204081632653061,0,0.0
弱开先走,2995044.4,2.9950444,1.9950443999999998,-0.2301445473913013,125,0.544,0.02191076,8.668658122097252,1.784,0.696,83,0.664
强收多拿,2683092.3,2.6830922999999998,1.6830922999999998,-0.20686610920453075,96,0.5416666666666666,0.02680489583333333,8.136143259386719,2.4583333333333335,0.4166666666666667,0,0.0
弱开先走+强收多拿,2484060.99,2.48406099,1.4840609900000001,-0.2301445496027471,123,0.5365853658536586,0.019662186991869914,6.448386427406777,2.032520325203252,0.5934959349593496,92,0.7479674796747967
