初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选交易日,候选覆盖率,验证期总收益率,验证期最大回撤,验证期交易笔数,验证期收益回撤比,验证期交易日,总收益率增量,验证期总收益率增量
1000000.0,6550330.32,6.5503303200000005,5.5503303200000005,-0.1512343505712196,53.0,0.6037735849056604,0.04913967924528302,36.70019608003162,0.0,前日阳线,54,0.854369,1.06638665,-0.10168512969068644,15,10.487144514087912,16,0.49260090000000023,0.35114368000000007
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,尾段基线,56,1.0,0.71524297,-0.1016851276674321,23,7.033899513203634,17,0.0,0.0
1000000.0,5373460.72,5.37346072,4.37346072,-0.21572767617091104,46.0,0.5869565217391305,0.053026956521739124,20.2730627688916,0.0,前日大阳线,42,0.631068,1.14812394,-0.12234237917063684,15,9.384515388560951,12,-0.6842687000000005,0.43288097000000003
1000000.0,4772609.6,4.7726096,3.7726096,-0.11880943310913394,46.0,0.6304347826086957,0.041516847826086944,31.753451735895588,0.0,昨日阴线+前日阳线,45,0.640777,0.90114425,-0.11880943753162954,14,7.584786770496213,13,-1.2851198200000002,0.18590127999999995
1000000.0,4263023.09,4.26302309,3.26302309,-0.11880943292619517,60.0,0.65,0.04108098333333333,27.46434361004821,0.0,昨日阴线,47,0.786408,0.6099706100000002,-0.11880943255193444,22,5.134025109777101,14,-1.7947063300000003,-0.10527235999999984
1000000.0,3773916.99,3.77391699,2.77391699,-0.1230346507376181,34.0,0.6176470588235294,0.05181447058823529,22.545819192965524,0.0,昨日阴线+前日大阳线,32,0.427184,1.18269299,-0.10525650068985493,11,11.236294026958785,10,-2.2838124300000002,0.46745002
1000000.0,2684649.43,2.6846494300000003,1.6846494300000003,-0.15460825349023155,31.0,0.6129032258064516,0.04477996774193548,10.896245135492975,0.0,昨日大阴线,30,0.466019,0.1334073200000001,-0.102062187712475,8,1.3071179737576193,10,-3.37307999,-0.5818356499999999
1000000.0,2667427.88,2.66742788,1.66742788,-0.10525650272627407,21.0,0.6666666666666666,0.05066147619047619,15.841566428786328,0.0,昨日小阴线+前日阳线,23,0.242718,0.88280867,-0.10525650259968644,8,8.387212649060885,8,-3.3903015400000003,0.16756569999999993
1000000.0,2551826.79,2.5518267900000002,1.5518267900000002,-0.10572417151723323,29.0,0.6896551724137931,0.03978237931034482,14.678069997900618,0.0,昨日小阴线,28,0.320388,0.6135881399999998,-0.10572417548698132,12,5.803669190832857,9,-3.50590263,-0.1016548300000002
1000000.0,2079784.79,2.07978479,1.0797847900000002,-0.1052565011928035,13.0,0.6923076923076923,0.06143269230769231,10.258604245471787,0.0,昨日小阴线+前日大阳线,13,0.145631,0.82778448,-0.10525650552772892,6,7.864449573446341,5,-3.97794463,0.11254151000000001
1000000.0,1966510.82,1.96651082,0.9665108200000001,-0.1329265157936348,19.0,0.7368421052631579,0.05831947368421053,7.271015976229188,0.0,前日小阳线,21,0.223301,0.16514587000000014,-0.11868640736655278,7,1.3914472066709485,7,-4.0912186,-0.5500970999999999
1000000.0,1966510.82,1.96651082,0.9665108200000001,-0.1329265157936348,19.0,0.7368421052631579,0.05831947368421053,7.271015976229188,0.0,昨日阴线+前日小阳线,20,0.213592,0.16514587000000014,-0.11868640736655278,7,1.3914472066709485,6,-4.0912186,-0.5500970999999999
1000000.0,1517429.23,1.51742923,0.5174292300000001,-0.17030298064295024,21.0,0.6666666666666666,0.027360904761904763,3.038286400194131,0.0,前日阴线,19,0.223301,-0.11901700000000004,-0.13497341856157308,7,-0.8817810296899761,6,-4.54030019,-0.8342599700000001
1000000.0,1420780.51,1.42078051,0.42078050999999994,-0.08406312158664586,10.0,0.7,0.0372102,5.005530392614453,0.0,昨日小阴线+前日小阳线,10,0.097087,0.13017155999999996,-0.05083246103426631,3,2.560795943211385,3,-4.63694891,-0.5850714100000001
1000000.0,1388410.4,1.3884104,0.38841039999999993,-0.2380908544430106,15.0,0.4,0.028529333333333337,1.631353715406863,0.0,昨日小阳线+前日大阳线,16,0.165049,0.1684082199999999,-0.23809085229746707,5,0.707327553221546,6,-4.6693190200000005,-0.5468347500000001
1000000.0,1223295.72,1.2232957199999999,0.22329571999999986,-0.23812723717123918,16.0,0.4375,0.017398187500000002,0.9377159986088703,0.0,昨日小阳线,17,0.174757,0.029456979999999966,-0.23812724540241947,6,0.1237026865624704,7,-4.8344337,-0.6857859900000001
1000000.0,1139518.9,1.1395189,0.1395188999999999,-0.24804760300992745,18.0,0.3333333333333333,0.013315111111111113,0.5624682452360404,0.0,昨日阳线+前日大阳线,21,0.213592,0.1684082199999999,-0.23809085229746707,5,0.707327553221546,6,-4.918210520000001,-0.5468347500000001
1000000.0,1004003.28,1.00400328,0.0040032800000000535,-0.24804760300992745,19.0,0.3684210526315789,0.004742263157894741,0.016139160191117965,0.0,昨日阳线,22,0.223301,0.029456979999999966,-0.23812724540241947,6,0.1237026865624704,7,-5.05372614,-0.6857859900000001
