日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞昨成交比估算,个股热度排名昨日,竞价匹配金额_openapi
20251031,002709.SZ,天赐材料,801730,电力设备,9.043913975070872e-05,15.0,0.00930074720099127,10,64601482.0
20251031,300274.SZ,阳光电源,801730,电力设备,9.043913975070872e-05,15.0,0.009098371018010854,12,225262960.0
20251103,300438.SZ,鹏辉能源,801730,电力设备,0.0016547405215725,12.0,0.011383446205365947,83,67162018.0
20251103,002709.SZ,天赐材料,801730,电力设备,0.0016547405215725,12.0,0.008304404223347737,7,72170388.0
20251106,600745.SH,闻泰科技,801080,电子,0.009585704191305,2.0,0.03258604845157338,47,95364900.0
20251106,603686.SH,福龙马,801970,环保,0.0002896004005321,18.0,0.01174342276989796,2,76162346.0
20251107,002320.SZ,海峡股份,801170,交通运输,0.001813275956308,1.0,0.024425756545212812,74,64494906.0
20251110,603516.SH,淳中科技,801750,计算机,0.0015072010717875,12.0,0.023022073092190596,63,84210130.0
20251111,000572.SZ,海马汽车,801880,汽车,0.0022766158661826,8.0,0.026786259907672257,2,179834800.0
20251117,300502.SZ,新易盛,801770,通信,0.0064087343559104,3.0,0.006146733613832904,98,62381932.0
20251125,002474.SZ,榕基软件,801750,计算机,0.0034294742115099,15.0,0.033313626916317104,5,154162320.0
20251125,000566.SZ,海南海药,801150,医药生物,0.0030815603135445,19.0,0.019299303676225576,28,51834288.0
20251125,002402.SZ,和而泰,801080,电子,0.0116872951173041,3.0,0.010955605679442818,33,51844697.0
20251128,002413.SZ,雷科防务,801740,国防军工,0.0007501965514964,5.0,0.01550788633322289,12,61632900.0
20251201,000070.SZ,特发信息,801770,通信,0.0084244488259543,3.0,0.027729553461271438,6,106187061.0
20251201,000063.SZ,中兴通讯,801770,通信,0.0084244488259543,3.0,0.010753792866735104,66,63411810.0
20251205,000078.SZ,海王生物,801150,医药生物,0.0002616478292232,4.0,0.031538574873019885,4,115332719.0
20251205,002565.SZ,顺灏股份,801140,轻工制造,0.0002409058058296,5.0,0.021912864710773323,9,90518450.0
