日期,总权益,净值,现金,持仓市值,持仓桶数,净值前高,回撤
20250910,1012336.0252753219,1.012336025275322,666666.6666666666,345669.3586086553,1,1.012336025275322,0.0
20250911,1381977.9519204926,1.3819779519204927,678979.7523691598,702998.1995513326,2,1.3819779519204927,0.0
20250912,1478653.2535079606,1.4786532535079606,715350.0737581736,763303.1797497871,2,1.4786532535079606,0.0
20250915,1128493.8564483053,1.1284938564483054,0.0,1128493.8564483053,3,1.4786532535079606,-0.2368096754455017
20250916,1892337.2322011064,1.8923372322011063,715162.2052578017,1177175.0269433046,3,1.8923372322011063,0.0
20250917,1243879.2329556274,1.2438792329556274,327759.7048932446,916119.5280623827,2,1.8923372322011063,-0.3426757071683324
20250918,1680549.631048872,1.680549631048872,725082.914417373,955466.7166314989,2,1.8923372322011063,-0.11191852992602691
20250919,1727135.2678471147,1.7271352678471148,1225657.9245033711,501477.3433437436,1,1.8923372322011063,-0.08730048827598968
20250922,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20250923,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20250924,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20250925,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20250926,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20250929,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20250930,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20251009,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20251010,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20251013,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20251014,1225657.9245033711,1.2256579245033712,1225657.9245033711,0.0,0,1.8923372322011063,-0.35230470359782273
20251015,1238579.2498438363,1.2385792498438364,0.0,1238579.2498438363,3,1.8923372322011063,-0.34547646753049377
20251016,2575097.2426314475,2.5750972426314473,1286389.2029100875,1288708.03972136,3,2.5750972426314473,0.0
20251017,1286389.2029100875,1.2863892029100876,1286389.2029100875,0.0,0,2.5750972426314473,-0.5004502425719859
20251020,1277111.2011763577,1.2771112011763577,771205.3017004267,505905.899475931,1,2.5750972426314473,-0.5040532139783196
20251021,1916188.1510150214,1.9161881510150214,912105.8481624313,1004082.3028525901,2,2.5750972426314473,-0.2558773628847888
20251022,1741075.1199709866,1.7410751199709866,1326217.2468096726,414857.8731613142,1,2.5750972426314473,-0.32387985542953246
20251023,1301810.149534157,1.301810149534157,765727.964492925,536082.185041232,1,2.5750972426314473,-0.49446175158656935
20251024,1864519.5876594856,1.8645195876594856,534743.9000968005,1329775.687562685,3,2.5750972426314473,-0.2759420666560284
20251027,1918500.8067038641,1.918500806703864,475916.91307852406,1442583.89362534,3,2.5750972426314473,-0.25497927808606513
20251028,2429940.705810896,2.429940705810896,1452049.0247465484,977891.6810643475,2,2.5750972426314473,-0.05636934187084064
20251029,1477316.240093255,1.477316240093255,381199.20582277514,1096117.0342704798,2,2.5750972426314473,-0.4263066203342244
20251030,2501232.8816356203,2.5012328816356204,1440261.514314303,1060971.3673213173,2,2.5750972426314473,-0.028684105505990987
20251031,1353207.3162461359,1.3532073162461358,0.0,1353207.3162461359,3,2.5750972426314473,-0.4745024405900429
20251103,2372198.2352805203,2.3721982352805204,951119.3877544911,1421078.847526029,3,2.5750972426314473,-0.07879275547030917
20251104,1465674.3087969897,1.4656743087969897,951119.3877544911,514554.9210424988,1,2.5750972426314473,-0.4308275879713023
20251105,1517129.8009012397,1.5171298009012397,951119.3877544911,566010.4131467487,1,2.5750972426314473,-0.41084562719234985
20251106,2053401.8213883108,2.0534018213883107,578688.7371537283,1474713.0842345825,3,2.5750972426314473,-0.20259251285983482
20251107,2462501.7241427973,2.4625017241427973,947572.991895437,1514928.7322473605,3,2.5750972426314473,-0.04372476371944334
20251110,2022916.4603320756,2.0229164603320755,975872.5926687417,1047043.8676633339,2,2.5750972426314473,-0.21443104095560594
20251111,1917355.0717414068,1.9173550717414067,883767.106890993,1033587.9648504138,2,2.5750972426314473,-0.2554242069002044
20251112,1927702.3723474317,1.9277023723474318,1405264.7155203065,522437.6568271253,1,2.5750972426314473,-0.251405989477296
20251113,1405264.7155203065,1.4052647155203064,1405264.7155203065,0.0,0,2.5750972426314473,-0.45428673828088495
20251114,1405264.7155203065,1.4052647155203064,1405264.7155203065,0.0,0,2.5750972426314473,-0.45428673828088495
20251117,1401020.1184144164,1.4010201184144164,941871.8280683856,459148.29034603084,1,2.5750972426314473,-0.45593506325891675
20251118,1874530.3934027043,1.8745303934027042,1407781.188144304,466749.2052584002,1,2.5750972426314473,-0.2720545219150039
20251119,1407781.188144304,1.407781188144304,1407781.188144304,0.0,0,2.5750972426314473,-0.4533095042633354
20251120,1407781.188144304,1.407781188144304,1407781.188144304,0.0,0,2.5750972426314473,-0.4533095042633354
20251121,1407781.188144304,1.407781188144304,1407781.188144304,0.0,0,2.5750972426314473,-0.4533095042633354
20251124,1407781.188144304,1.407781188144304,1407781.188144304,0.0,0,2.5750972426314473,-0.4533095042633354
20251125,1543136.0196455342,1.5431360196455342,0.0,1543136.0196455342,3,2.5750972426314473,-0.400746506151888
20251126,3007360.976660015,3.007360976660015,1502326.446388986,1505034.530271029,3,3.007360976660015,0.0
20251127,1502326.446388986,1.502326446388986,1502326.446388986,0.0,0,3.007360976660015,-0.5004502425719859
20251128,1548864.5787135195,1.5488645787135196,1004117.2290945684,544747.349618951,1,3.007360976660015,-0.4849755015330106
20251201,1673180.3685031894,1.6731803685031894,0.0,1673180.3685031894,3,3.007360976660015,-0.443638332249217
20251202,2830227.9768668525,2.8302279768668526,1084514.5913498984,1745713.3855169544,3,3.007360976660015,-0.05889981321427096
20251203,2329343.1932959347,2.3293431932959345,1706368.4174914947,622974.7758044399,1,3.007360976660015,-0.22545274366002088
20251204,1706368.4174914947,1.7063684174914946,1706368.4174914947,0.0,0,3.007360976660015,-0.43260272686433765
20251205,1812759.200591485,1.812759200591485,504487.6136955595,1308271.5868959255,2,3.007360976660015,-0.3972259350772246
20251208,2517975.1099944906,2.5179751099944907,616928.3965725648,1901046.7134219257,3,3.007360976660015,-0.16272933993079797
20251209,3232278.618323939,3.2322786183239387,1923425.9654377666,1308852.6528861723,2,3.2322786183239387,0.0
20251210,1923425.9654377666,1.9234259654377666,1923425.9654377666,0.0,0,3.2322786183239387,-0.4049318785411088
20251211,1923425.9654377666,1.9234259654377666,1923425.9654377666,0.0,0,3.2322786183239387,-0.4049318785411088
20251212,1923425.9654377666,1.9234259654377666,1923425.9654377666,0.0,0,3.2322786183239387,-0.4049318785411088
20251215,1923425.9654377666,1.9234259654377666,1923425.9654377666,0.0,0,3.2322786183239387,-0.4049318785411088
20251216,1923425.9654377666,1.9234259654377666,1923425.9654377666,0.0,0,3.2322786183239387,-0.4049318785411088
20251217,1923425.9654377666,1.9234259654377666,1923425.9654377666,0.0,0,3.2322786183239387,-0.4049318785411088
20251218,1923425.9654377666,1.9234259654377666,1923425.9654377666,0.0,0,3.2322786183239387,-0.4049318785411088
20251219,1972909.0139921694,1.9729090139921694,0.0,1972909.0139921694,3,3.2322786183239387,-0.38962284909238454
20251222,3992138.1026570983,3.992138102657098,1994271.6208014858,1997866.4818556127,3,3.992138102657098,0.0
20251223,1994271.6208014858,1.994271620801486,1994271.6208014858,0.0,0,3.992138102657098,-0.5004502425719859
20251224,2084055.0932023982,2.084055093202398,1265094.3289249493,818960.7642774489,1,3.992138102657098,-0.47796017081290676
20251225,2165927.5752549116,2.1659275752549116,1265094.3289249493,900833.2463299624,1,3.992138102657098,-0.45745174150831414
20251226,2256058.0886383704,2.2560580886383703,1265094.3289249493,990963.7597134212,1,3.992138102657098,-0.4348747386427396
20251229,3267868.9797540177,3.2678689797540175,2265579.919929586,1002289.0598244317,1,3.992138102657098,-0.1814238646756784
20251230,2265579.919929586,2.265579919929586,2265579.919929586,0.0,0,3.992138102657098,-0.4324895928771464
20251231,2337903.1296075494,2.3379031296075494,0.0,2337903.1296075494,3,3.992138102657098,-0.4143731831192209
20260105,3978341.676994808,3.978341676994808,1626771.629584927,2351570.047409881,3,3.992138102657098,-0.003455898896159715
20260106,3205273.226050688,3.205273226050688,735493.4200066024,2469779.8060440854,3,3.992138102657098,-0.19710362126066894
20260107,4140993.8235727856,4.140993823572786,1702867.850104935,2438125.9734678506,3,4.140993823572786,0.0
20260108,3173421.2349169706,3.1734212349169706,742622.873672214,2430798.3612447567,3,4.140993823572786,-0.23365709534456836
20260109,4128021.2476732777,4.128021247673278,1707588.0789656863,2420433.1687075915,3,4.140993823572786,-0.003132720417417967
20260112,3304991.466651378,3.304991466651378,742771.6518675232,2562219.814783855,3,4.140993823572786,-0.20188447327847436
20260113,3949221.097005361,3.949221097005361,1633302.0117032416,2315919.0853021196,3,4.140993823572786,-0.04631079753747769
20260114,3077652.284766413,3.0776522847664127,716699.200629356,2360953.084137057,3,4.140993823572786,-0.2567841402595811
20260115,4041513.475019055,4.041513475019055,2377609.3648939286,1663904.1101251263,2,4.140993823572786,-0.024023302808962033
20260116,2351927.2663002443,2.3519272663002444,1300866.3102524132,1051060.9560478313,1,4.140993823572786,-0.43203796805689565
20260119,3294848.6601735763,3.2948486601735762,1594697.189275505,1700151.4708980713,2,4.140993823572786,-0.20433383855404275
20260120,2926545.050344697,2.9265450503446973,679493.3719724325,2247051.678372265,3,4.140993823572786,-0.29327471253755233
20260121,3229629.5052053975,3.2296295052053976,899468.5980396175,2330160.9071657797,3,4.140993823572786,-0.22008347686475827
20260122,3269774.714631399,3.2697747146313993,750071.2323293469,2519703.482302052,3,4.140993823572786,-0.2103888935989071
20260123,4376110.913883148,4.3761109138831475,1819781.3899737848,2556329.5239093625,3,4.3761109138831475,0.0
20260126,3399438.1640003324,3.3994381640003324,1602689.9053486446,1796748.258651688,2,4.3761109138831475,-0.22318281439904442
20260127,2730767.3457486173,2.7307673457486175,1602689.9053486446,1128077.440399973,1,4.3761109138831475,-0.3759830590478641
20260128,2905099.386939567,2.905099386939567,832935.8612840571,2072163.52565551,2,4.3761109138831475,-0.33614585093737415
20260129,3112723.3551965836,3.1127233551965836,832935.8612840571,2279787.4939125264,2,4.3761109138831475,-0.2887009912565254
20260130,4932482.994802543,4.932482994802543,2880863.637397927,2051619.3574046157,2,4.932482994802543,0.0
20260202,2880863.637397927,2.880863637397927,2880863.637397927,0.0,0,4.932482994802543,-0.41594048262638683
20260203,3051539.1269676844,3.0515391269676844,0.0,3051539.1269676844,3,4.932482994802543,-0.3813381353401212
20260204,6100373.09979273,6.10037309979273,3047439.9022218403,3052933.1975708893,3,6.10037309979273,0.0
20260205,3047439.9022218403,3.04743990222184,3047439.9022218403,0.0,0,6.10037309979273,-0.500450242571986
20260206,3047439.9022218403,3.04743990222184,3047439.9022218403,0.0,0,6.10037309979273,-0.500450242571986
20260209,3032267.6561738136,3.0322676561738136,0.0,3032267.6561738136,3,6.10037309979273,-0.502937343901664
20260210,5978830.87659251,5.97883087659251,2986723.5141049093,2992107.362487601,3,6.10037309979273,-0.019923736009581083
20260211,2959428.171646322,2.959428171646322,1653480.1173350327,1305948.0543112892,1,6.10037309979273,-0.514877512697236
20260212,4424030.196377128,4.424030196377128,2151383.0444407733,2272647.151936355,2,6.10037309979273,-0.27479350459278606
20260213,3882488.5997445877,3.8824885997445877,3016156.4046750814,866332.1950695063,1,6.10037309979273,-0.36356538588164355
20260224,2984694.480544742,2.9846944805447424,762348.1794796715,2222346.3010650706,2,6.10037309979273,-0.510735748171509
20260225,4048429.8160128877,4.048429816012888,881318.6209780598,3167111.195034828,3,6.10037309979273,-0.33636357157393537
20260226,4675789.014159779,4.675789014159779,1462120.233602956,3213668.780556823,3,6.10037309979273,-0.2335240914496448
20260227,5095231.148048269,5.095231148048269,3277039.9096231824,1818191.2384250863,2,6.10037309979273,-0.16476729132823242
20260302,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260303,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260304,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260305,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260306,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260309,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260310,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260311,3277039.9096231824,3.2770399096231824,3277039.9096231824,0.0,0,6.10037309979273,-0.4628131991247346
20260312,3166861.4897966683,3.1668614897966685,1814919.6760202264,1351941.813776442,1,6.10037309979273,-0.4808741304848604
20260313,3302280.432905614,3.302280432905614,1814919.6760202264,1487360.7568853875,1,6.10037309979273,-0.45867566149063665
20260316,4963244.129463678,4.963244129463678,3387664.3930425877,1575579.7364210906,1,6.10037309979273,-0.18640318415404578
20260317,3387664.3930425877,3.387664393042588,3387664.3930425877,0.0,0,6.10037309979273,-0.444679147057794
20260318,3387664.3930425877,3.387664393042588,3387664.3930425877,0.0,0,6.10037309979273,-0.444679147057794
20260319,3387664.3930425877,3.387664393042588,3387664.3930425877,0.0,0,6.10037309979273,-0.444679147057794
20260320,3387664.3930425877,3.387664393042588,3387664.3930425877,0.0,0,6.10037309979273,-0.444679147057794
20260323,3387664.3930425877,3.387664393042588,3387664.3930425877,0.0,0,6.10037309979273,-0.444679147057794
20260324,3387664.3930425877,3.387664393042588,3387664.3930425877,0.0,0,6.10037309979273,-0.444679147057794
20260325,3445773.823861424,3.445773823861424,0.0,3445773.823861424,3,6.10037309979273,-0.43515359347799565
20260326,6454580.05953644,6.454580059536441,3224383.9030411257,3230196.156495315,3,6.454580059536441,0.0
20260327,3224383.9030411257,3.224383903041126,3224383.9030411257,0.0,0,6.454580059536441,-0.5004502425719859
20260330,3224383.9030411257,3.224383903041126,3224383.9030411257,0.0,0,6.454580059536441,-0.5004502425719859
20260331,3224383.9030411257,3.224383903041126,3224383.9030411257,0.0,0,6.454580059536441,-0.5004502425719859
20260401,3080757.3324148213,3.080757332414821,0.0,3080757.3324148213,3,6.454580059536441,-0.5227021271719918
20260402,4886276.821059777,4.886276821059777,1660769.343269485,3225507.4777902924,3,6.454580059536441,-0.24297525540171194
20260403,4812780.219479096,4.812780219479096,3235355.6118904585,1577424.6075886379,1,6.454580059536441,-0.2543619917815778
20260407,3235355.6118904585,3.2353556118904585,3235355.6118904585,0.0,0,6.454580059536441,-0.4987504094692695
20260408,3235355.6118904585,3.2353556118904585,3235355.6118904585,0.0,0,6.454580059536441,-0.4987504094692695
20260409,3235355.6118904585,3.2353556118904585,3235355.6118904585,0.0,0,6.454580059536441,-0.4987504094692695
20260410,3235355.6118904585,3.2353556118904585,3235355.6118904585,0.0,0,6.454580059536441,-0.4987504094692695
20260413,3235355.6118904585,3.2353556118904585,3235355.6118904585,0.0,0,6.454580059536441,-0.4987504094692695
20260414,3235355.6118904585,3.2353556118904585,3235355.6118904585,0.0,0,6.454580059536441,-0.4987504094692695
20260415,3235355.6118904585,3.2353556118904585,3235355.6118904585,0.0,0,6.454580059536441,-0.4987504094692695
