股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出原价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.77,5.7671,87.0,1000000.0,1036939.26,0.036939,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.26,7.2564,7.0,1036939.26,1501725.03,0.448229,7
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.64,3.6382,1.0,750862.52,663270.18,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.61,3.6082,24.0,750862.52,844866.59,0.125195,1
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.44,30.4248,18.0,502712.26,517383.52,0.029184,1
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.03,54.003,24.0,502712.26,530883.66,0.056039,1
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.88,5.8771,8.0,502712.26,533141.09,0.060529,5
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.63,20.6197,6.0,524133.59,561707.83,0.071688,1
300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.42,365.2373,98.0,524133.59,570226.01,0.08794,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.27,12.2639,4.0,533141.09,526181.43,-0.013054,1
601212.SH,601212,白银有色,20251022,20251023,5.15,5.1526,5.27,5.2674,21.0,1131933.84,1155300.38,0.020643,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.31,14.3028,5.0,526181.43,502011.94,-0.045934,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.01,7.0065,1.0,577650.19,536362.55,-0.071475,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.75,7.7461,11.0,577650.19,626249.77,0.084133,4
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.21,15.2024,20.0,502011.94,518785.33,0.033412,1
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.99,52.9635,4.0,536362.55,578531.19,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.97,77.931,6.0,572517.55,569934.03,-0.004513,1
000981.SZ,000981,山子高科,20251029,20251030,4.14,4.1421,4.2,4.1979,31.0,572517.55,579306.29,0.011858,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.31,40.2898,10.0,575923.84,554349.76,-0.03746,3
000657.SZ,000657,中钨高新,20251031,20251103,26.01,26.023,22.75,22.7386,35.0,575923.84,502431.19,-0.127608,3
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.3,34.2828,1.0,1056780.94,1205114.54,0.140364,1
000620.SZ,000620,盈新发展,20251031,20251106,2.76,2.7614,3.38,3.3783,20.0,575923.84,703466.07,0.221457,6
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.9,31.8841,2.0,602557.27,563872.07,-0.064202,1
600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,45.0,44.9775,47.0,602557.27,653252.36,0.084133,1
002639.SZ,002639,雪人集团,20251107,20251110,13.2,13.2066,15.0,14.9925,5.0,703466.07,797316.9,0.133412,3
603516.SH,603516,淳中科技,20251110,20251111,230.0,230.115,202.69,202.5887,63.0,1217124.43,1069818.13,-0.121028,1
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.13,9.1254,2.0,797316.9,748514.99,-0.061208,1
300475.SZ,300475,香农芯创,20251112,20251113,176.04,176.128,192.97,192.8735,13.0,534909.06,584828.97,0.093324,1
002213.SZ,002213,大为股份,20251112,20251113,27.96,27.974,30.16,30.1449,20.0,534909.06,575499.05,0.075882,1
000572.SZ,000572,海马汽车,20251113,20251114,9.06,9.0645,10.94,10.9345,9.0,748514.99,901488.34,0.204369,1
002759.SZ,002759,天际股份,20251114,20251117,46.51,46.5333,47.17,47.1464,2.0,1160328.03,1173737.03,0.011556,3
002050.SZ,002050,三花智控,20251117,20251118,41.66,41.6808,42.14,42.1189,21.0,450744.17,454753.31,0.008894,1
300502.SZ,300502,新易盛,20251117,20251118,314.33,314.4872,316.86,316.7016,98.0,450744.17,453191.95,0.005431,1
002474.SZ,002474,榕基软件,20251125,20251126,11.51,11.5158,12.34,12.3338,5.0,693894.1,741999.33,0.069326,1
000566.SZ,000566,海南海药,20251125,20251126,7.73,7.7339,8.7,8.6957,28.0,693894.1,778938.98,0.122562,1
002402.SZ,002402,和而泰,20251125,20251126,46.51,46.5333,47.59,47.5662,33.0,693894.1,708162.7,0.020563,1
002264.SZ,002264,新华都,20251128,20251201,10.6,10.6053,9.4,9.3953,8.0,743033.67,657205.17,-0.115511,3
600693.SH,600693,东百集团,20251128,20251201,9.31,9.3147,10.34,10.3348,10.0,743033.67,823094.76,0.107749,3
002413.SZ,002413,雷科防务,20251128,20251203,7.0,7.0035,8.76,8.7556,12.0,743033.67,927438.34,0.248178,5
000078.SZ,000078,海王生物,20251205,20251208,4.82,4.8224,5.14,5.1374,4.0,802579.42,853639.67,0.06362,3
000678.SZ,000678,襄阳轴承,20251205,20251208,14.4,14.4072,14.98,14.9725,21.0,802579.42,832736.94,0.037576,3
002565.SZ,002565,顺灏股份,20251205,20251209,11.0,11.0055,13.2,13.1934,9.0,802579.42,960593.74,0.196883,4
001208.SZ,001208,华菱线缆,20251219,20251222,21.41,21.4207,21.03,21.0195,15.0,882323.45,864412.25,-0.0203,3
002491.SZ,002491,通鼎互联,20251219,20251222,6.35,6.3532,6.95,6.9465,39.0,882323.45,963184.29,0.091645,3
300308.SZ,300308,中际旭创,20251219,20251222,583.34,583.6317,617.5,617.1913,71.0,882323.45,931565.75,0.05581,3
001208.SZ,001208,华菱线缆,20251224,20251226,19.38,19.3897,23.86,23.8481,26.0,919720.76,1129387.94,0.227968,2
002792.SZ,002792,通宇通讯,20251224,20251229,30.88,30.8954,42.48,42.4588,21.0,919720.76,1261925.44,0.372075,5
600118.SH,600118,中国卫星,20251224,20251230,58.34,58.3692,86.32,86.2768,11.0,919720.76,1357286.36,0.475759,6
300377.SZ,300377,赢时胜,20251229,20251230,23.49,23.5017,23.31,23.2983,56.0,1129387.94,1117822.6,-0.01024,1
600693.SH,600693,东百集团,20251230,20251231,18.29,18.2991,17.82,17.8111,4.0,1261925.44,1226304.08,-0.028228,1
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.13,15.1224,8.0,1237554.48,1196384.67,-0.033267,5
600783.SH,600783,鲁信创投,20251231,20260105,23.66,23.6718,22.26,22.2489,40.0,1237554.48,1161302.16,-0.061615,5
002009.SZ,002009,天奇股份,20260105,20260106,23.18,23.1916,20.91,20.8995,16.0,1226304.08,1103339.74,-0.100272,1
002565.SZ,002565,顺灏股份,20260106,20260107,17.76,17.7689,19.46,19.4503,11.0,1178843.41,1288328.11,0.092875,1
002347.SZ,002347,泰尔股份,20260106,20260107,12.41,12.4162,12.71,12.7036,12.0,1178843.41,1204204.86,0.021514,1
603667.SH,603667,五洲新春,20260107,20260108,74.97,75.0075,75.94,75.902,24.0,1103339.74,1114712.4,0.010307,1
002766.SZ,002766,索菱股份,20260108,20260109,7.14,7.1436,6.74,6.7366,29.0,1246266.49,1173391.9,-0.058474,1
002163.SZ,002163,海南发展,20260108,20260109,20.8,20.8104,19.93,19.92,52.0,1246266.49,1191037.31,-0.044316,1
600266.SH,600266,城建发展,20260109,20260112,7.13,7.1336,7.15,7.1464,29.0,1114712.4,1114935.72,0.0002,3
