策略名,命名条件,买入过滤,市场过滤,排序方式,初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,样本区间,对比组
基线,,,,个股热度排名昨日升序,1000000.0,1117566.27,1.11756627,0.11756626999999997,-0.3857598613050409,182,0.45604395604395603,0.0038018131868131876,0.3047654299808918,0,验证期,基线
量比>=1.2,,量比>=1.2,,个股热度排名昨日升序,1000000.0,1017998.19,1.01799819,0.017998189999999914,-0.5081711082273712,124,0.43548387096774194,0.0018628064516129047,0.035417578269614995,0,验证期,改良版
