分仓策略,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,平均持有自然日,平均单笔分配资金
等权基线,5039279.59,5.03927959,4.03927959,-0.2100546588984844,100,0.59,0.03890664,19.229659609464363,1.98,1139327.2295000001
竞昨比平方根比例,5057772.71,5.05777271,4.05777271,-0.2182424391559905,100,0.59,0.038906640000000006,18.59295893911667,1.98,1194133.0203
竞昨比50_30_20,4701217.62,4.70121762,3.7012176200000004,-0.22739969673118254,100,0.59,0.038906640000000006,16.276264538625767,1.98,1130136.7178
竞昨比60_30_10,4468904.03,4.46890403,3.46890403,-0.23868179405779855,100,0.59,0.038906640000000006,14.533592910567696,1.98,1110783.9921
热度50_30_20,4112060.41,4.11206041,3.1120604099999998,-0.21861865999272678,100,0.59,0.03890664,14.235108796767554,1.98,1011503.5556000002
