初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,方案,桶数,最大同时持仓桶数,平均持有自然日
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,当前全仓补位,0,3,
,3235355.6118904585,3.2353556118904585,2.2353556118904585,-0.5227021271719918,81.0,0.6419753086419753,0.047531222222222225,4.276538195825878,,3桶轮动,3,3,1.8888888888888888
,2668383.9089169516,2.6683839089169514,1.6683839089169514,-0.4978291351004034,90.0,0.6111111111111112,0.0427017,3.351318336522164,,4桶轮动,4,4,1.8222222222222222
,2335569.578032339,2.335569578032339,1.3355695780323389,-0.47439516807597604,97.0,0.5876288659793815,0.0401080412371134,2.8153102474653426,,5桶轮动,5,5,1.7731958762886597
,2109539.846847591,2.109539846847591,1.109539846847591,-0.45357418344462885,98.0,0.5816326530612245,0.03948847959183674,2.4462147259380798,,6桶轮动,6,6,1.7653061224489797
,1951034.1544407934,1.9510341544407934,0.9510341544407934,-0.4341199313678651,98.0,0.5816326530612245,0.03948847959183674,2.1907175545803375,,7桶轮动,7,6,1.7653061224489797
,1832154.8851356935,1.8321548851356935,0.8321548851356935,-0.41626587029631645,98.0,0.5816326530612245,0.03948847959183674,1.9990946760620294,,8桶轮动,8,6,1.7653061224489797
,1739693.2312317274,1.7396932312317275,0.7396932312317275,-0.39982236603590726,98.0,0.5816326530612245,0.03948847959183674,1.8500546594366787,,9桶轮动,9,6,1.7653061224489797
,1554769.923423795,1.554769923423795,0.554769923423795,-0.3574606917299662,98.0,0.5816326530612245,0.03948847959183674,1.551974626185977,,12桶轮动,12,6,1.7653061224489797
