初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选池行数,候选交易日,基线宇宙覆盖率
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,未匹配占比优先排序,103,56,1.0
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,未匹配金额优先排序,103,56,1.0
1000000.0,5710759.58,5.71075958,4.71075958,-0.13509144339471857,67.0,0.582089552238806,0.043698462686567165,34.87089531078449,0.0,行业开盘>0基线,103,56,1.0
1000000.0,2619210.29,2.61921029,1.6192102899999998,-0.14942039834521548,49.0,0.6530612244897959,0.042428387755102034,10.836608039680332,0.0,未匹配金额>=100万,59,34,0.572816
1000000.0,2576990.12,2.57699012,1.57699012,-0.1481449534000403,65.0,0.5846153846153846,0.025180153846153845,10.64491286275278,0.0,未匹配金额>=0,87,47,0.84466
1000000.0,2576990.12,2.57699012,1.57699012,-0.1481449534000403,65.0,0.5846153846153846,0.025180153846153845,10.64491286275278,0.0,未匹配占比>=0,87,47,0.84466
1000000.0,2439129.18,2.43912918,1.4391291800000001,-0.14814494801296352,60.0,0.6,0.02738653333333333,9.714331803431246,0.0,未匹配金额>=20万,80,45,0.776699
1000000.0,2397616.39,2.39761639,1.39761639,-0.1016851309318334,39.0,0.6666666666666666,0.04696246153846154,13.744550232589258,0.0,未匹配占比>=2%,45,27,0.436893
1000000.0,2168009.52,2.16800952,1.16800952,-0.14942040411436563,50.0,0.62,0.033788559999999995,7.816934554038626,0.0,未匹配占比>=1%,59,35,0.572816
1000000.0,2168009.52,2.16800952,1.16800952,-0.14942040411436563,50.0,0.62,0.033788559999999995,7.816934554038626,0.0,未匹配占比>=1%+优先排序,59,35,0.572816
1000000.0,2138758.7,2.1387587000000003,1.1387587000000003,-0.13258665368685763,31.0,0.6774193548387096,0.0483226129032258,8.588788300589544,0.0,未匹配占比>=3%,36,24,0.349515
1000000.0,2094493.42,2.09449342,1.09449342,-0.13258664577975376,23.0,0.7391304347826086,0.0542391304347826,8.254929548622243,0.0,未匹配占比>=5%,25,19,0.242718
1000000.0,1813367.59,1.8133675900000001,0.8133675900000001,-0.1402699696176959,55.0,0.6181818181818182,0.02505136363636363,5.798586769618784,0.0,未匹配金额>=50万,72,40,0.699029
