日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞昨成交比估算,竞价涨幅今日,量比,昨日前日成交量比,个股热度排名昨日,大单动向(ddx值)昨日,连续涨停天数昨日,竞价匹配金额_openapi
20251128,002413.SZ,雷科防务,801740,国防军工,0.0007501965514964,5.0,0.01550788633322289,0.575,1.433738972129066,1.433738972129066,12,-18301.952,0,61632900.0
20251201,000070.SZ,特发信息,801770,通信,0.0084244488259543,3.0,0.027729553461271438,-3.712,0.7548683751674645,0.7548683751674645,6,-5957.215,0,106187061.0
20251201,000063.SZ,中兴通讯,801770,通信,0.0084244488259543,3.0,0.010753792866735104,0.855,0.5357539486368881,0.5357539486368881,66,-824.099,0,63411810.0
20251205,000078.SZ,海王生物,801150,医药生物,0.0002616478292232,4.0,0.031538574873019885,0.208,4.164878777614001,4.164878777614001,4,6482.892,0,115332719.0
20251205,002565.SZ,顺灏股份,801140,轻工制造,0.0002409058058296,5.0,0.021912864710773323,1.664,1.528042075699164,1.528042075699164,9,-978.922,0,90518450.0
20251208,300502.SZ,新易盛,801770,通信,0.0024221303746543,11.0,0.005242331071721254,-0.633,1.0519547885062808,1.0519547885062808,77,-453.306,0,70111428.0
20251219,002491.SZ,通鼎互联,801770,通信,0.0125038018316379,1.0,0.03875731348460524,-2.458,3.161516755526237,3.161516755526237,39,-1319.442,0,72407780.0
20251219,001208.SZ,华菱线缆,801730,电力设备,0.0053463261011597,4.0,0.02130951819366768,0.753,0.9755637038775764,0.9755637038775763,15,-785.37,0,68379258.0
20251219,300308.SZ,中际旭创,801770,通信,0.0125038018316379,1.0,0.017867203625083754,2.125,0.7467590019448028,0.7467590019448028,71,-44.093,0,246601150.0
20251222,300308.SZ,中际旭创,801770,通信,0.0191708723595522,1.0,0.04209436684573604,3.203,0.9288175705163046,0.9288175705163046,88,-621.028,0,540095150.0
20251222,000592.SZ,平潭发展,801010,农林牧渔,0.0011482332024594,22.0,0.026679901285515763,-0.662,0.8821025441813877,0.8821025441813877,1,-13230.66,0,157180680.0
20251224,002792.SZ,通宇通讯,801770,通信,0.0016793184915619,5.0,0.012333059155919814,-5.421,0.9939686543792284,0.9939686543792285,21,-2781.08,0,59178339.0
20251231,600783.SH,鲁信创投,801890,机械设备,0.0020671042424409,9.0,0.03661874124947892,5.249,57.02519922271144,57.025199222711436,40,-2969.562,0,104890104.0
20251231,603123.SH,翠微股份,801200,商贸零售,0.0036928726312028,5.0,0.03250886732066083,-4.701,1.319168152388551,1.319168152388551,8,-5772.822,0,110017017.0
20251231,002149.SZ,西部材料,801050,有色金属,0.000397920713997,17.0,0.012648177850435347,1.651,1.189855652702546,1.1898556527025461,38,-2983.774,0,62470332.0
20260105,002009.SZ,天奇股份,801890,机械设备,0.0016180552649565,24.0,0.017655458744537875,2.476,1.5144409222480557,1.5144409222480555,16,-805.197,0,63598966.0
20260105,600343.SH,航天动力,801890,机械设备,0.0016180552649565,24.0,0.023719960445336613,-4.636,0.965502967490155,0.965502967490155,18,714.357,0,169435210.0
20260106,002347.SZ,泰尔股份,801890,机械设备,0.0006918164075029,11.0,0.018041450123604603,-5.556,5.9658029534434,5.9658029534434,12,4010.42,0,57344227.0
20260106,002565.SZ,顺灏股份,801140,轻工制造,0.0002118523226348,15.0,0.011135710227454488,0.282,1.8247963889653216,1.8247963889653216,11,-2090.877,0,76065494.0
20260107,002600.SZ,领益智造,801080,电子,0.0109892495842121,1.0,0.013346166374584526,1.438,1.0748121967209825,1.0748121967209823,93,-1085.891,0,66582244.0
20260108,603667.SH,五洲新春,801890,机械设备,4.52140887108321e-06,8.0,0.009700856432485808,0.013,0.959550512073614,0.9595505120736139,36,-2266.435,0,59313323.0
20260108,002163.SZ,海南发展,801720,建筑装饰,0.0014433969158809,3.0,0.017026516183211084,0.048,0.7687765533712804,0.7687765533712804,52,-4672.797,0,52499200.0
20260109,600266.SH,城建发展,801180,房地产,0.0003315982599818,16.0,0.028450486231101985,5.63,2.143266707730415,2.143266707730415,29,-5045.396,0,98454605.0
20260112,002324.SZ,普利特,801030,基础化工,0.0032010800923303,13.0,0.018832149161887343,0.0,15.44236445163787,15.44236445163787,29,-8174.134,0,120278026.0
20260112,300065.SZ,海兰信,801740,国防军工,0.0213049563459444,3.0,0.013895669376951233,5.297,1.5369780182451152,1.5369780182451152,77,-7240.184,0,83025598.0
