初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,交易日数
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,尾段基线,56
1000000.0,5251991.84,5.25199184,4.25199184,-0.15283115313583984,58.0,0.603448275862069,0.048546758620689655,27.821499430948688,0.0,top3平均竞昨成交比>=0.012,41
1000000.0,3614561.28,3.6145612799999998,2.6145612799999998,-0.1785224053920419,45.0,0.6222222222222222,0.05370602222222222,14.645563811770995,0.0,top3平均竞昨成交比>=0.015,30
1000000.0,3073025.04,3.07302504,2.07302504,-0.1785224064560068,38.0,0.6052631578947368,0.054397026315789486,11.612128030051256,0.0,top1竞昨成交比>=0.015,29
1000000.0,2719666.84,2.71966684,1.71966684,-0.1450363474770714,32.0,0.65625,0.06396840625,11.856799139759499,0.0,top1竞昨成交比>=0.020,20
1000000.0,2438648.6,2.4386486,1.4386486,-0.10168512920020933,56.0,0.6428571428571429,0.04067498214285714,14.148072695737287,0.0,top1未匹配占比>=0.015,31
1000000.0,2434457.94,2.43445794,1.4344579400000002,-0.13509144820853458,59.0,0.6271186440677966,0.030837,10.618421513889555,0.0,top3平均未匹配占比>=0.005,40
1000000.0,2349256.22,2.34925622,1.34925622,-0.10168513150904268,49.0,0.6326530612244898,0.044251489795918364,13.268962728144901,0.0,top1未匹配占比>=0.030,24
1000000.0,2326441.91,2.3264419100000002,1.3264419100000002,-0.10168512998313484,51.0,0.6274509803921569,0.04245023529411764,13.044600623709677,0.0,top1未匹配占比>=0.020,27
1000000.0,2326441.91,2.3264419100000002,1.3264419100000002,-0.10168512998313484,51.0,0.6274509803921569,0.04245023529411764,13.044600623709677,0.0,top3平均未匹配占比>=0.015,27
1000000.0,2326441.91,2.3264419100000002,1.3264419100000002,-0.10168512998313484,51.0,0.6274509803921569,0.04245023529411764,13.044600623709677,0.0,top3平均未匹配占比>=0.020,26
1000000.0,2288686.93,2.2886869300000003,1.2886869300000003,-0.1350914417658996,57.0,0.631578947368421,0.03888254385964912,9.539367654637738,0.0,top3平均未匹配占比>=0.010,32
1000000.0,2267578.17,2.2675781699999997,1.2675781699999997,-0.13509144653701932,60.0,0.6166666666666667,0.035253466666666664,9.383111977060985,0.0,top1未匹配占比>=0.010,35
1000000.0,2122453.04,2.12245304,1.12245304,-0.11411052657794096,58.0,0.603448275862069,0.036471965517241384,9.836542461604806,0.0,候选数>=2,29
1000000.0,2120285.85,2.12028585,1.1202858500000001,-0.09690446393792018,50.0,0.66,0.04205228,11.560724908583033,0.0,候选数>=2+top3平均未匹配占比>=0.010,22
1000000.0,2101828.2,2.1018282000000004,1.1018282000000004,-0.14503635065390086,28.0,0.6071428571428571,0.04806260714285714,7.5969106712377545,0.0,top3平均竞昨成交比>=0.020,19
1000000.0,2092032.99,2.09203299,1.0920329899999999,-0.11816284294557966,10.0,0.7,0.0986979,9.241763000767845,0.0,top1竞昨成交比>=0.030,6
1000000.0,1725784.54,1.72578454,0.72578454,-0.14520760059870397,29.0,0.6206896551724138,0.052090344827586205,4.998254478467555,0.0,top1未匹配占比>=0.010+top1竞昨成交比>=0.020,17
1000000.0,1596854.37,1.5968543700000002,0.5968543700000002,-0.06585128377569527,25.0,0.68,0.0561646,9.063670983743073,0.0,候选数>=2+top1竞昨成交比>=0.020,12
1000000.0,1551343.05,1.55134305,0.5513430500000001,-0.11516477049679663,39.0,0.5641025641025641,0.03585276923076922,4.787428027005324,0.0,候选数>=3,13
