日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日,竞价涨幅今日,开盘价:不复权今日,收盘价:不复权今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,市场20日高低差
20251103,002709.SZ,天赐材料,801730,电力设备,0.0016547405215725,12.0,72170388.0,-54836.64,-0.0007598218815173891,0.008304404223347737,7,2.032,40.68,40.31,-4.549,4.492,217974663.0,169658367.0,706
20251106,603686.SH,福龙马,801970,环保,0.0002896004005321,18.0,76162346.0,990454.0,0.013004510128929064,0.01174342276989796,2,-0.875,34.0,30.87,0.853,11.567,189081875.0,125484523.0,644
20251106,600745.SH,闻泰科技,801080,电子,0.009585704191305,2.0,95364900.0,-156781.8,-0.0016440199696114606,0.03258604845157338,47,-3.9,41.4,41.02,-0.462,2.142,67932861.0,121294572.0,644
20251107,002320.SZ,海峡股份,801170,交通运输,0.001813275956308,1.0,64494906.0,9241912.9,0.1432967884316321,0.024425756545212812,74,6.681,15.17,14.84,-12.438,8.757,185685883.0,64882897.0,390
20251110,603516.SH,淳中科技,801750,计算机,0.0015072010717875,12.0,84210130.0,5696870.0,0.06765064963086982,0.023022073092190596,63,-3.353,230.0,214.18,4.837,10.0,15370233.0,13178273.0,893
20251111,000572.SZ,海马汽车,801880,汽车,0.0022766158661826,8.0,179834800.0,10355041.0,0.05758085198193008,0.026786259907672257,2,-4.434,9.7,9.95,-1.932,0.0,661444382.0,462069529.0,808
20251125,002474.SZ,榕基软件,801750,计算机,0.0034294742115099,15.0,154162320.0,10605636.3,0.06879525619489898,0.033313626916317104,5,-7.624,11.51,13.71,-4.154,13.285,371398503.0,208876086.0,63
20251128,002413.SZ,雷科防务,801740,国防军工,0.0007501965514964,5.0,61632900.0,-1092021.0,-0.01771815053323793,0.01550788633322289,12,0.575,7.0,7.66,-8.3,0.0,571020888.0,398273953.0,173
20251201,000070.SZ,特发信息,801770,通信,0.0084244488259543,3.0,106187061.0,13606837.0,0.12814025430085121,0.027729553461271438,6,-3.712,13.49,14.19,-4.369,6.333,273331032.0,362090983.0,266
20251205,002565.SZ,顺灏股份,801140,轻工制造,0.0002409058058296,5.0,90518450.0,7369450.0,0.08141378912254905,0.021912864710773323,9,1.664,11.0,11.9,2.076,9.877,381779372.0,249848730.0,208
20251205,000078.SZ,海王生物,801150,医药生物,0.0002616478292232,4.0,115332719.0,8255937.0,0.0715836500828529,0.031538574873019885,4,0.208,4.82,5.29,-3.219,7.619,760266443.0,182542274.0,208
20251208,300502.SZ,新易盛,801770,通信,0.0024221303746543,11.0,70111428.0,561179.52,0.008004109116134391,0.005242331071721254,77,-0.633,375.12,404.52,-1.085,1.939,35427159.0,33677454.0,274
20251219,001208.SZ,华菱线缆,801730,电力设备,0.0053463261011597,4.0,68379258.0,2826120.0,0.041330077024234455,0.02130951819366768,15,0.753,21.41,21.17,2.164,5.051,151005259.0,154787697.0,481
20251219,300308.SZ,中际旭创,801770,通信,0.0125038018316379,1.0,246601150.0,7151748.4,0.02900127756906243,0.017867203625083754,71,2.125,583.34,571.7,-1.004,5.921,24162887.0,32357008.0,481
20251219,002491.SZ,通鼎互联,801770,通信,0.0125038018316379,1.0,72407780.0,383540.0,0.005296944610095766,0.03875731348460524,39,-2.458,6.35,7.16,0.154,10.284,286978590.0,90772440.0,481
20251222,000592.SZ,平潭发展,801010,农林牧渔,0.0011482332024594,22.0,157180680.0,975489.55,0.00620616700474893,0.026679901285515763,1,-0.662,13.51,12.9,-6.142,7.143,433186594.0,491084168.0,498
20251224,002792.SZ,通宇通讯,801770,通信,0.0016793184915619,5.0,59178339.0,213164.64,0.0036020720351748977,0.012333059155919814,21,-5.421,30.88,34.71,-7.69,5.522,146963465.0,147855231.0,603
