初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选交易日,候选覆盖率,验证期总收益率,验证期最大回撤,验证期交易笔数,验证期收益回撤比,验证期交易日,总收益率增量,验证期总收益率增量
1000000.0,6550330.32,6.5503303200000005,5.5503303200000005,-0.1512343505712196,53.0,0.6037735849056604,0.04913967924528302,36.70019608003162,0.0,当前正式基线,54,1.0,0.3363379900000001,-0.10172803636355532,17,3.306246753825037,17,0.0,0.0
1000000.0,6550330.32,6.5503303200000005,5.5503303200000005,-0.1512343505712196,53.0,0.6037735849056604,0.04913967924528302,36.70019608003162,0.0,热度升温优先排序,54,1.0,0.3363379900000001,-0.10172803636355532,17,3.306246753825037,17,0.0,0.0
1000000.0,6550330.32,6.5503303200000005,5.5503303200000005,-0.1512343505712196,53.0,0.6037735849056604,0.04913967924528302,36.70019608003162,0.0,热度降温优先排序,54,1.0,0.3363379900000001,-0.10172803636355532,17,3.306246753825037,17,0.0,0.0
1000000.0,3669539.9,3.6695398999999997,2.6695398999999997,-0.22032248815148336,34.0,0.5882352941176471,0.04253058823529411,12.116511221335472,0.0,前日更热,34,0.488636,0.5785835500000001,-0.22032249009167593,11,2.6260757572195743,13,-2.8807904200000007,0.24224555999999997
1000000.0,3669539.9,3.6695398999999997,2.6695398999999997,-0.22032248815148336,34.0,0.5882352941176471,0.04253058823529411,12.116511221335472,0.0,前日更热+降温排序,34,0.488636,0.5785835500000001,-0.22032249009167593,11,2.6260757572195743,13,-2.8807904200000007,0.24224555999999997
1000000.0,2640756.35,2.64075635,1.6407563500000002,-0.2445194826855125,32.0,0.625,0.04399490625000001,6.710125230022062,0.0,昨日更热,38,0.511364,0.54350052,-0.12454832877757904,10,4.363772082165746,10,-3.9095739700000003,0.20716252999999996
1000000.0,2640756.35,2.64075635,1.6407563500000002,-0.2445194826855125,32.0,0.625,0.04399490625000001,6.710125230022062,0.0,昨日更热+升温排序,38,0.511364,0.54350052,-0.12454832877757904,10,4.363772082165746,10,-3.9095739700000003,0.20716252999999996
1000000.0,2568343.98,2.56834398,1.5683439799999999,-0.23207654309991232,23.0,0.6521739130434783,0.05624652173913043,6.757873756008185,0.0,昨日显著更热(1.2x),26,0.352273,0.56934952,-0.07535523926792309,4,7.555539940304568,5,-3.9819863400000006,0.23301152999999997
1000000.0,1980373.25,1.98037325,0.98037325,-0.2445194826855125,28.0,0.6071428571428571,0.038866035714285714,4.0093870608294315,0.0,昨日显著更热(1.1x),31,0.420455,0.5238904600000001,-0.07535523817985446,6,6.952276612139452,6,-4.569957070000001,0.18755246999999997
1000000.0,1877665.44,1.87766544,0.8776654399999999,-0.18606373985977875,24.0,0.625,0.032942458333333334,4.7170149361795355,0.0,前日显著更热(1.1x),25,0.329545,-0.04869615999999999,-0.18606373566660206,8,-0.26171763038906254,10,-4.672664880000001,-0.3850341500000001
1000000.0,1579735.25,1.57973525,0.5797352499999999,-0.0913009400772491,20.0,0.7,0.026804349999999998,6.349718299827909,0.0,前日显著更热(1.2x),19,0.261364,-0.03475397999999996,-0.09130094808310474,6,-0.38065300229265847,6,-4.970595070000001,-0.37109197000000005
