初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选交易日,候选覆盖率,验证期总收益率,验证期最大回撤,验证期交易笔数,验证期收益回撤比,验证期交易日,总收益率增量,验证期总收益率增量
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,尾段基线,56,1.0,0.71524297,-0.1016851276674321,23,7.033899513203634,17,0.0,0.0
1000000.0,6057729.42,6.05772942,5.05772942,-0.12426821933032939,68.0,0.6176470588235294,0.04556292647058824,40.70010375344287,0.0,热度二排,56,1.0,0.71524297,-0.1016851276674321,23,7.033899513203634,17,0.0,0.0
1000000.0,5456478.97,5.45647897,4.45647897,-0.16728930381624985,69.0,0.5942028985507246,0.04155410144927536,26.639353911682157,0.0,热度一排,56,1.0,0.5755157200000001,-0.16728930220558225,23,3.440242217597078,17,-0.6012504500000002,-0.13972724999999997
1000000.0,5076288.14,5.07628814,4.07628814,-0.20022980567198456,49.0,0.6326530612244898,0.04647040816326531,20.358048724662673,0.0,"热度[10,80]+尾段基线",43,0.650485,0.7562352700000001,-0.20022980992799233,12,3.7768365772906707,15,-0.9814412800000003,0.04099230000000009
1000000.0,5076288.14,5.07628814,4.07628814,-0.20022980567198456,49.0,0.6326530612244898,0.04647040816326531,20.358048724662673,0.0,"热度[10,80]+热度二排",43,0.650485,0.7562352700000001,-0.20022980992799233,12,3.7768365772906707,15,-0.9814412800000003,0.04099230000000009
1000000.0,5076288.14,5.07628814,4.07628814,-0.20022980567198456,49.0,0.6326530612244898,0.04647040816326531,20.358048724662673,0.0,"热度[10,80]+热度一排",43,0.650485,0.7562352700000001,-0.20022980992799233,12,3.7768365772906707,15,-0.9814412800000003,0.04099230000000009
1000000.0,4431116.57,4.43111657,3.4311165700000004,-0.13509144427851916,39.0,0.6666666666666666,0.04994189743589744,25.398474258118366,0.0,"热度[20,80]+尾段基线",36,0.504854,0.5387275,-0.11814409052730246,10,4.559919142764936,12,-1.6266128499999999,-0.17651547
1000000.0,4431116.57,4.43111657,3.4311165700000004,-0.13509144427851916,39.0,0.6666666666666666,0.04994189743589744,25.398474258118366,0.0,"热度[20,80]+热度二排",36,0.504854,0.5387275,-0.11814409052730246,10,4.559919142764936,12,-1.6266128499999999,-0.17651547
1000000.0,4431116.57,4.43111657,3.4311165700000004,-0.13509144427851916,39.0,0.6666666666666666,0.04994189743589744,25.398474258118366,0.0,"热度[20,80]+热度一排",36,0.504854,0.5387275,-0.11814409052730246,10,4.559919142764936,12,-1.6266128499999999,-0.17651547
1000000.0,4327201.31,4.3272013099999995,3.3272013099999995,-0.13951927035268596,59.0,0.6101694915254238,0.04741893220338984,23.847611169333682,0.0,热度<=60+尾段基线,47,0.805825,0.64919398,-0.13951926723130037,20,4.653077620625267,16,-1.7305281100000007,-0.06604899000000009
1000000.0,4327201.31,4.3272013099999995,3.3272013099999995,-0.13951927035268596,59.0,0.6101694915254238,0.04741893220338984,23.847611169333682,0.0,热度<=60+热度二排,47,0.805825,0.64919398,-0.13951926723130037,20,4.653077620625267,16,-1.7305281100000007,-0.06604899000000009
1000000.0,4117627.15,4.11762715,3.1176271499999997,-0.19117606645311325,59.0,0.5932203389830508,0.044859847457627125,16.30762264252681,0.0,热度<=60+热度一排,47,0.805825,0.5501887700000001,-0.19117606483709837,20,2.8779165972937952,16,-1.9401022700000006,-0.16505419999999993
