日期,股票代码,股票简称,基础代码,申万一级行业代码,申万一级行业,申万一级行业涨跌幅,申万一级行业涨跌幅排名,申万一级行业成交额占比,申万一级行业成交额占比排名,一级行业候选数,竞昨成交比估算,个股热度排名昨日,竞价匹配金额_openapi,市场20日高低差,市场60日高低差
20260123,601899.SH,紫金矿业,601899,801050,有色金属,2.73,2.0,8.31,4.0,1,0.013595086967524905,60,140260440.0,1468,749
20260126,601212.SH,白银有色,601212,801050,有色金属,4.57,1.0,10.07,3.0,1,0.051056054016929635,12,160839580.0,644,396
20260127,002342.SZ,巨力索具,002342,801890,机械设备,0.64,4.0,7.68,4.0,1,0.01887463826601179,13,90810918.0,127,245
20260127,002156.SZ,通富微电,002156,801080,电子,2.27,1.0,20.12,1.0,1,0.007871093677132804,15,85701524.0,127,245
20260128,000630.SZ,铜陵有色,000630,801050,有色金属,5.92,1.0,12.52,2.0,1,0.008730178028461448,13,85370120.0,14,276
20260203,002455.SZ,百川股份,002455,801030,基础化工,3.21,8.0,5.12,9.0,2,0.026601033692296005,35,65827224.0,188,165
20260203,002165.SZ,红宝丽,002165,801030,基础化工,3.21,8.0,5.12,9.0,2,0.020494867050466343,5,81210675.0,188,165
20260209,601138.SH,工业富联,601138,801080,电子,2.97,4.0,17.57,1.0,1,0.01972115318299115,39,147806000.0,610,382
20260212,603881.SH,数据港,603881,801770,通信,1.55,5.0,8.06,6.0,1,0.015864838423049584,24,85344999.0,4,211
20260224,603993.SH,洛阳钼业,603993,801050,有色金属,3.31,4.0,8.23,5.0,2,0.016213540089227874,49,99851135.0,346,391
20260224,600111.SH,北方稀土,600111,801050,有色金属,3.31,4.0,8.23,5.0,2,0.011741385408681432,95,78114400.0,346,391
20260227,002716.SZ,湖南白银,002716,801050,有色金属,3.1,3.0,10.18,3.0,1,0.01067001321575192,58,50524320.0,732,616
20260306,600410.SH,华胜天成,600410,801750,计算机,1.69,8.0,7.36,6.0,1,0.005581629918418298,3,51567977.0,446,357
20260325,603986.SH,兆易创新,603986,801080,电子,2.65,4.0,18.35,1.0,1,0.0059316408534053795,62,54699820.0,157,140
20260327,002309.SZ,中利集团,002309,801730,电力设备,1.46,8.0,15.52,2.0,1,0.02286138003066148,6,97480309.0,122,94
20260401,002149.SZ,西部材料,002149,801050,有色金属,2.32,7.0,7.69,6.0,2,0.015617258970548211,9,86612712.0,182,68
20260401,002192.SZ,融捷股份,002192,801050,有色金属,2.32,7.0,7.69,6.0,2,0.013279423378160234,91,52687500.0,182,68
