日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅,基础代码,竞价强度,竞价匹配金额_openapi,竞价未匹配金额,竞价换手率_openapi,竞价量比_openapi,昨日涨停_openapi,昨日炸板_openapi,连续涨停天数_openapi,个股热度排名_openapi,集合竞价评级_unifiedwap,昨收估算,昨日成交额估算,竞昨成交比估算,昨日前日成交量比,industry_code,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差,一级行业候选数,竞价未匹配占比
20251015,000063.SZ,中兴通讯,51.03,50.4,50.41,54.03,0.39840637,-6.46543693,-0.012149716,0.0587889476778365,0.9959296172056384,24,0,1.653,-1.235,-7.226,5.153,366750968.0,368249886.0,9.106485,15109304.0,21034571.0,-11389.133,48.53,-0.04899079,000063,9.127275320721903,89273158.0,10117973.3,0.0,0.348,,,0.0,,,50.20019084532675,18410968586.308323,0.0048489115377878455,0.9959296172056384,730204,801770,通信,0.0044891984207957,3.0,3912.21,553,97,456,286,28,258,264,5,259,1,0.11333723962134286
20251015,002475.SZ,立讯精密,55.04,58.2,58.04,59.2,5.79894565,-4.74458874,0.0545058139534883,0.0755813953488372,0.9300714771162928,29,0,0.055,5.741,-6.446,4.771,248599086.0,267290302.0,3.421717,12569294.5,15319334.5,-6880.049,53.88,-0.021075581,002475,8.884335756730442,57335168.0,1364992.0,0.0,0.34,,,0.0,,,55.00974464044775,13675372238.70871,0.0041925855471568385,0.9300714771162928,270504,801080,电子,0.0005099737886142,17.0,3912.21,553,97,456,286,28,258,264,5,259,2,0.02380723816837861
20251020,300502.SZ,新易盛,335.01,329.24,330.01,365.42,4.08776201,-2.60192142,-0.014924928,0.0907734097489628,0.983262139310616,98,0,5.912,-1.722,-1.919,2.187,30653561.0,31175370.0,3.462145,5418050.0,5811046.5,-678.452,324.58,-0.031133399,300502,9.492484137851196,300463100.0,2586947.2,0.1,1.656,,,0.0,,,316.30976659868566,9696020725.328573,0.030988289785221976,0.983262139310616,730204,801770,通信,0.0338629508664847,1.0,3863.89,324,322,2,172,136,36,154,42,112,1,0.008609866569305848
20251021,002185.SZ,华天科技,12.4,13.09,12.66,12.27,3.47826087,-2.39197531,0.0209677419354838,-0.010483871,2.46591659300605,4,0,-1.976,5.565,-4.094,0.0,441200988.0,178919672.0,13.666162,25307134.5,16100392.5,-8933.976,12.22,-0.014516129,002185,8.541591946682383,56967906.0,1274893.6,0.1,0.869,,,0.0,,,12.649963274300172,5581176294.78495,0.010207150426914627,2.46591659300605,270107,801080,电子,0.0067902323269573,3.0,3916.33,515,56,459,259,24,235,217,7,210,1,0.022379155028095996
20251023,002208.SZ,合肥城建,14.96,14.32,14.25,14.31,-6.9525666,7.54716981,-0.047459893,-0.043449198,1.7598891331815056,5,0,-2.794,-4.278,2.463,12.235,200691217.0,114036284.0,24.990053,25066434.5,18677312.5,5978.036,13.85,-0.074197861,002208,8.473951754072942,55811272.0,-97240.0,0.5,0.57,,,0.0,,,15.389996502273522,3088637127.6670165,0.018069870202640705,1.7598891331815056,430101,801180,房地产,0.0056593867688581,1.0,3922.41,763,314,449,261,103,158,209,22,187,1,-0.0017423003725842334
20251024,300475.SZ,香农芯创,116.0,127.57,131.0,133.66,19.99811871,-1.29978646,0.1293103448275862,0.1522413793103448,1.090667886394797,84,0,9.115,9.977,0.711,7.177,53098155.0,48684073.0,11.951836,5815732.0,7498348.5,835.804,112.94,-0.02637931,300475,9.669352278187048,145601810.0,15150992.0,0.3,2.349,,,0.0,,,106.30985657334004,5644857242.358978,0.025793709875850324,1.090667886394797,270401,801080,电子,0.0143922028244678,1.0,3950.31,530,153,377,216,73,143,187,24,163,1,0.10405771741436456
20251024,601608.SH,中信重工,7.13,6.88,6.73,7.57,-3.77622378,-5.79710145,-0.056100982,0.061711079943899,23.644749896698738,11,0,-0.28,-3.506,-11.18,0.0,538123202.0,22758676.0,11.825407,16848718.0,10677583.5,-14430.873,6.6,-0.074333801,601608,9.221031946661402,67670630.0,6109896.6,0.2,1.152,,,0.0,,,7.15002005615724,3847591686.983554,0.01758778880537935,23.644749896698738,640203,801890,机械设备,0.000518385402267,16.0,3950.31,530,153,377,216,73,143,187,24,163,2,0.09028875008256905
20251024,600172.SH,黄河旋风,7.53,6.96,6.72,7.01,-9.96119017,0.12953368,-0.107569721,-0.069057105,2.0539423904727623,1,0,-2.587,-7.57,-4.686,3.763,536872788.0,261386488.0,42.066238,33197430.5,27067018.0,-11353.224,6.96,-0.075697211,600172,8.726825855320717,102069903.0,904353.0,1.1,1.157,,,0.0,,,7.729974438729943,4150012928.0896797,0.02459508073074473,2.0539423904727623,640103,801890,机械设备,0.000518385402267,16.0,3950.31,530,153,377,216,73,143,187,24,163,2,0.008860133824169501
20251027,300520.SZ,科大国创,33.26,36.9,35.27,37.1,8.08435852,4.43560722,0.0604329524954902,0.1154539987973542,1.5548287425691243,27,0,-2.578,10.944,-5.534,11.952,111336841.0,71607141.0,40.048008,11976576.5,8099049.5,-3114.448,33.26,0.0,300520,8.268206788419596,107221094.0,4196580.5,1.2,1.882,,,0.0,,,34.14013261891564,3801054517.1111245,0.028208249452178372,1.5548287425691245,710401,801750,计算机,0.0089199329389435,6.0,3996.94,709,116,593,308,48,260,274,21,253,2,0.03913950458293216
20251027,000555.SZ,神州信息,14.68,15.19,14.91,15.21,2.49662618,4.0,0.0156675749318801,0.0361035422343325,5.419076082764538,20,0,-0.945,3.474,-5.485,9.028,188077202.0,34706507.0,19.351426,14395202.0,4722080.0,-4513.853,14.3,-0.025885559,000555,8.950757345040214,99420300.0,1484148.0,0.7000000000000001,1.212,,1.0,0.0,,,14.820049467467568,2787313437.3428903,0.03566886259292607,5.419076082764538,710301,801750,计算机,0.0089199329389435,6.0,3996.94,709,116,593,308,48,260,274,21,253,2,0.014928017718715393
