排序名次,股票代码,股票简称,竞价匹配金额_openapi,竞价涨幅今日,开盘价:不复权今日,成交量昨日,成交量前日,实体涨跌幅昨日,实体涨跌幅前日,个股热度排名昨日,连续涨停天数昨日,昨收估算,昨日成交额估算,竞昨成交比估算,昨日前日成交量比
1,002580.SZ,圣阳股份,282884620,-9.394,29.7,104899111.0,82237602.0,-1.727,4.978,1,0,32.77928613999073,3438517975.2996492,0.08226934453508217,1.275561403164455
2,603629.SH,利通电子,73195200,-3.057,101.88,54492482.0,37240304.0,-0.667,9.14,34,0,105.09268332937911,5726761154.657891,0.01278125593564633,1.4632663041633602
