日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅
20240513,603823.SH,百合花,11.93,12.31,11.76,12.12,-4.57364341,9.97442455,-0.01424979,0.0159262363788767,8.982523952727899,16,5,-7.519,3.226,5.546,0.0,70288214.0,7824996.0,17.100444,7360535.5,3586161.5,2342.941,11.61,-0.026823135
20240513,600843.SH,上工申贝,6.61,7.36,7.17,7.5,5.74712644,-1.69491525,0.0847201210287442,0.13464447806354,1.489130745861085,18,0,-5.029,11.433,-3.086,12.48,122588668.0,82322300.0,26.125901,7283332.0,4378793.0,-3710.538,6.59,-0.003025719
20240514,603739.SH,蔚蓝生物,18.61,17.46,16.67,17.14,-10.0,-4.90196078,-0.10424503,-0.07898979,0.8423844764854543,5,0,-4.072,-6.213,-1.38,-4.65,58372927.0,69294875.0,23.069671,15505231.5,30983087.5,-1047.719,17.46,-0.061794734
20240514,002130.SZ,沃尔核材,13.54,13.77,13.51,13.55,1.47383935,4.38461538,-0.002215657,0.0007385524372231,0.9623140361132476,17,0,-0.221,1.72,4.443,-6.35,150896404.0,156805781.0,12.079935,7306741.0,5179411.5,-164.914,13.27,-0.019940916
20240514,002241.SZ,歌尔股份,17.0,17.19,17.1,16.85,2.32142857,3.7037037,0.0058823529411765,-0.008823529,2.574797672890633,61,0,1.191,1.134,4.482,-0.125,111107422.0,43151904.0,3.691308,3846122.5,1353879.5,2401.223,16.99,-0.000588235
20240514,002481.SZ,双塔食品,4.59,4.61,4.58,5.07,-3.95833333,-4.38247012,-0.002178649,0.1045751633986929,2.67256674493792,64,0,-4.375,0.441,-4.427,0.0,124066754.0,46422322.0,11.09569,3642939.0,3341262.5,-4135.559,4.56,-0.006535948
20240514,002475.SZ,立讯精密,31.95,31.08,31.0,30.66,1.63505559,3.66101695,-0.029733959,-0.040375587,1.6958846474162732,67,0,4.48,-2.749,4.091,-1.184,87320975.0,51489926.0,1.21915,3468745.5,1391276.5,1605.295,31.01,-0.02942097
20240514,601138.SH,工业富联,24.4,23.8,23.88,24.3,-0.83333333,0.33444816,-0.021311475,-0.004098361,1.038473711821326,70,0,1.667,-2.519,0.3,-0.342,101213563.0,97463770.0,0.510277,3383514.0,3028195.0,-874.685,23.46,-0.03852459
20240514,300759.SZ,康龙化成,22.21,22.46,22.06,22.24,1.12561909,2.30308614,-0.006753715,0.0013507429085996,1.0005159461781898,97,0,0.0,1.136,-6.42,4.367,60909853.0,60878443.0,4.263654,2546679.5,1718554.0,-1584.36,22.0,-0.0094552
20240515,600866.SH,星湖科技,7.5,7.52,7.59,7.7,-4.20382166,-4.03422983,0.0119999999999999,0.0266666666666666,0.9596061685596016,9,0,-4.459,0.281,-1.969,2.094,278949132.0,290691266.0,27.906705,11531882.0,11805599.5,-1640.877,7.18,-0.042666667
20240515,002927.SZ,泰永长征,15.09,15.92,15.27,15.1,5.15191546,-1.87945561,0.0119284294234592,0.0006626905235254,1.2718544321680871,32,0,-0.33,5.569,1.15,7.02,46713654.0,36728774.0,21.171638,5559586.0,4982558.0,-986.908,14.7,-0.02584493
20240515,002125.SZ,湘潭电化,13.2,12.8,12.8,12.32,-2.51332826,-7.33944954,-0.03030303,-0.066666667,1.2197414525727912,36,0,0.533,-3.069,-7.625,-1.547,103874980.0,85161474.0,16.501667,5091067.0,5479824.5,-3145.928,12.53,-0.050757576
20240515,001366.SZ,播恩集团,14.19,13.87,13.65,13.67,-9.52380952,-9.92949471,-0.038054968,-0.036645525,1.1542558759417023,54,0,-7.436,-2.274,-12.385,7.781,25097064.0,21743068.0,45.07375,3941922.0,4598319.5,-828.823,13.8,-0.027484144
20240516,601099.SH,太平洋,3.52,3.45,3.45,3.48,-1.70940171,-8.35509138,-0.019886364,-0.011363636,1.1590661585444002,16,0,0.285,-1.989,-8.355,4.36,743565499.0,641521188.0,10.908611,9209153.5,8571115.5,-18884.203,3.44,-0.022727273
20240516,600101.SH,明星电力,10.8,11.6,11.43,12.11,3.6639857,-8.57843137,0.0583333333333332,0.1212962962962961,1.0165527742860525,20,0,-3.485,7.472,-7.893,13.449,115190394.0,113314721.0,27.333048,7787192.0,10834972.5,-3074.664,10.8,0.0
20240516,000977.SZ,浪潮信息,40.5,39.95,39.46,39.12,1.44743525,-1.55,-0.025679012,-0.034074074,0.7779106851662931,40,0,2.844,-1.364,-0.432,3.563,62118838.0,79853432.0,4.22507,5040739.5,7255615.0,-1763.868,39.76,-0.018271605
20240516,002425.SZ,ST凯文,3.15,3.26,3.17,3.2,-3.26409496,10.13071895,0.0063492063492063,0.0158730158730159,1.4657187384481276,45,2,-6.528,3.492,6.984,4.437,110180710.0,75171796.0,11.525348,4742314.0,2570685.5,3672.69,3.14,-0.003174603
20240516,601136.SH,首创证券,21.37,21.02,20.97,21.23,-2.95475531,-5.53859573,-0.018717829,-0.00655124,1.2384896309360531,56,0,-1.339,-1.65,-6.925,1.425,64051102.0,51717108.0,13.302857,3861153.5,3041684.0,-2112.68,20.87,-0.023397286
20240517,300641.SZ,正丹股份,26.41,25.76,25.76,24.68,-3.88059701,-2.89855072,-0.024611889,-0.06550549,0.8123803467200215,2,0,-1.455,-2.501,5.183,20.372,74359789.0,91533220.0,14.635591,16535356.5,26531802.5,853.992,25.66,-0.028398334
20240517,000002.SZ,万科A,8.33,9.0,9.0,9.18,10.02444988,5.82147477,0.0804321728691476,0.1020408163265305,1.3513460410120817,4,0,1.834,8.043,6.234,4.319,663587018.0,491056323.0,6.829179,14125213.0,9804888.0,11229.934,8.0,-0.039615846
20240517,601878.SH,浙商证券,11.51,11.57,11.41,11.59,-1.11111111,-2.98507463,-0.008688097,0.0069504778453518,0.7137389492897867,26,0,-1.624,0.53,-1.708,-10.212,174206829.0,244076394.0,4.491956,5961314.5,12489994.0,-3290.574,11.35,-0.013900956
20240517,001696.SZ,宗申动力,12.02,12.93,12.8,13.68,10.04255319,2.44115083,0.0648918469217971,0.1381031613976705,1.094368829194626,34,0,2.298,7.732,2.679,1.447,116522433.0,106474554.0,13.072729,5288047.0,5532106.5,832.303,11.44,-0.048252912
20240517,002246.SZ,北化股份,9.82,10.63,10.88,11.18,7.70010132,-7.06214689,0.1079429735234216,0.1384928716904276,0.9072260734871236,36,0,-0.507,8.308,-4.203,6.244,103897710.0,114522403.0,18.923702,5189581.5,6583312.0,-2187.32,9.38,-0.044806517
20240517,601919.SH,中远海控,14.18,14.06,14.16,14.4,-0.28368794,-1.2605042,-0.001410437,0.0155148095909732,1.07962900096938,43,0,0.567,-0.894,-2.909,2.268,227504208.0,210724432.0,1.783254,4408182.5,5577169.5,-6537.477,13.67,-0.03596615
20240517,603332.SH,苏州龙杰,8.58,9.85,9.91,9.62,10.05586592,-0.44493882,0.155011655011655,0.1212121212121211,3.2135152046276287,84,0,-4.134,15.065,-5.882,9.001,39411913.0,12264424.0,18.216975,2991433.5,1535370.5,-797.221,8.58,0.0
20240520,300641.SZ,正丹股份,25.76,24.68,24.7,26.91,-4.19254658,-3.88059701,-0.041149068,0.044642857142857,0.9264938742631452,6,0,0.0,-4.262,-2.501,5.183,68893889.0,74359789.0,13.559785,12992783.0,16535356.5,-2152.934,23.88,-0.072981366
20240520,600789.SH,鲁抗医药,8.94,9.29,9.17,8.92,2.53863135,-4.02542373,0.0257270693512304,-0.002237136,1.018034646764323,10,0,-1.325,3.964,-1.972,-1.478,210586073.0,206855507.0,23.50145,10256211.0,12706510.0,369.449,8.94,0.0
20240520,600843.SH,上工申贝,7.7,7.9,7.71,8.17,-4.00972053,1.10565111,0.0012987012987012,0.061038961038961,0.8104928679590249,11,0,-6.44,2.614,-1.919,-5.601,130887880.0,161491711.0,27.894616,9436069.0,14242787.5,574.07,7.53,-0.022077922
20240520,002789.SZ,建艺集团,11.07,10.35,10.0,10.19,-10.0,-3.68509213,-0.096657633,-0.079494128,1.399965938886332,44,0,-3.739,-6.504,-11.334,8.743,27266795.0,19476756.0,20.782256,4552111.0,4043706.5,-454.447,10.35,-0.06504065
20240521,300162.SZ,雷曼光电,7.14,8.98,8.97,10.77,11.55279503,19.97019374,0.2563025210084035,0.5084033613445378,2.418148625162968,22,2,-11.304,25.77,7.048,20.901,94877326.0,39235523.0,35.041274,6547830.5,2212374.0,3162.578,7.14,0.0
20240521,000420.SZ,吉林化纤,4.2,4.16,4.12,4.05,-3.25581395,1.8957346,-0.019047619,-0.035714286,2.0207249230832267,36,0,-2.326,-0.952,-0.693,9.896,370475866.0,183338099.0,15.072121,5236220.0,3621624.0,-6174.598,4.1,-0.023809524
20240521,002305.SZ,南国置业,2.18,2.19,2.19,2.19,0.4587156,-6.03448276,0.0045871559633026,0.0045871559633026,0.9034625816269072,41,0,0.0,0.459,-4.386,5.936,369356620.0,408823373.0,21.299574,4803454.5,7097005.5,-12311.887,2.14,-0.018348624
20240521,300502.SZ,新易盛,89.98,89.84,89.2,88.65,-0.31069685,6.02352941,-0.008668593,-0.014781062,1.3474358152447068,58,0,-0.155,-0.156,8.49,5.208,38840980.0,28825848.0,6.288836,4190466.5,2056801.5,1119.427,89.0,-0.010891309
20240521,603042.SH,华脉科技,11.13,11.45,11.21,11.72,1.41718335,-7.76143791,0.0071877807726864,0.0530098831985624,4.227120455090482,84,0,-1.417,2.875,-13.948,6.62,40083340.0,9482422.0,24.960072,3283772.0,3111876.0,-1226.793,10.83,-0.026954178
20240521,600362.SH,江西铜业,28.35,27.3,27.09,26.8,-3.60169492,5.86915888,-0.044444444,-0.054673721,2.454538841520416,89,0,0.106,-3.784,1.725,1.632,65190480.0,26559156.0,3.141335,3229499.0,951113.5,1296.505,27.04,-0.046208113
20240522,000560.SZ,我爱我家,3.58,3.76,3.63,3.69,9.94152047,6.54205607,0.0139664804469273,0.0307262569832401,10.506206147664898,3,0,4.678,5.028,2.703,0.0,755016990.0,71863904.0,33.572526,16807325.5,8079510.5,-2516.723,3.51,-0.019553073
20240522,603259.SH,药明康德,43.7,44.12,43.86,43.29,0.93800046,-2.2147651,0.0036613272311212,-0.009382151,1.1898649972293511,27,0,-0.023,0.983,-1.816,0.229,66921746.0,56243142.0,2.628085,6004261.5,5484598.5,-1363.221,43.6,-0.00228833
