风控策略,初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量
市场宽度>=0才开仓,1000000.0,4290845.01,4.29084501,3.29084501,-0.20754281596332458,99,0.5656565656565656,0.03347430303030303,15.856222219619173,0
市场宽度>=300才开仓,1000000.0,3082465.49,3.08246549,2.08246549,-0.18847353860196125,62,0.5806451612903226,0.043455564516129024,11.049113342101435,0
基线,1000000.0,3565227.43,3.56522743,2.56522743,-0.24179370374057363,140,0.5214285714285715,0.023001428571428572,10.609157270498223,0
回撤阈值控仓,1000000.0,3565227.43,3.56522743,2.56522743,-0.24179370374057363,140,0.5214285714285715,0.023001428571428572,10.609157270498223,0
回撤更敏感控仓,1000000.0,3565227.43,3.56522743,2.56522743,-0.24179370374057363,140,0.5214285714285715,0.023001428571428572,10.609157270498223,0
连跌两天半仓,1000000.0,2997345.74,2.99734574,1.99734574,-0.22154607403115167,142,0.5140845070422535,0.020889985915492956,9.015486953378161,0
候选均强度>=8.5才开仓,1000000.0,3467821.28,3.46782128,2.46782128,-0.3578851191380088,111,0.5135135135135135,0.020064414414414415,6.895568292819548,0
连跌两天停一天,1000000.0,2257878.11,2.25787811,1.25787811,-0.28820834344442836,107,0.48598130841121495,0.012825971962616818,4.364475000851393,0
候选至少2只且均强度>=8.5,1000000.0,1615535.22,1.61553522,0.6155352199999999,-0.3896540461329705,108,0.49074074074074076,0.01376468518518518,1.579696723564746,0
